Year,Sex,Value
2015,,16.7
2016,,16.6
2017,,16.5
2018,,16.3
2019,,16.6
2020,,16.3
2021,,15.9
2022,,
2023,,
2024,,
2015,women,27.3
2016,women,27.4
2017,women,27.6
2018,women,27.0
2019,women,27.5
2020,women,27.1
2021,women,26.7
2022,women,
2023,women,
2024,women,
2015,men,6.8
2016,men,6.6
2017,men,6.2
2018,men,6.1
2019,men,6.5
2020,men,6.4
2021,men,6.1
2022,men,
2023,men,
2024,men,
