Year,WaterType,SupplyType,Region,Value
2015,microbiological,urban_pipelines,13_reg_Dnipropetrovsk,1.0
2015,microbiological,rural_pipelines,13_reg_Dnipropetrovsk,0.8
2015,microbiological,non_centralized_1,13_reg_Dnipropetrovsk,8.5
2015,sanitary_chemical,urban_pipelines,13_reg_Dnipropetrovsk,19.9
2015,sanitary_chemical,rural_pipelines,13_reg_Dnipropetrovsk,57.1
2015,sanitary_chemical,non_centralized_1,13_reg_Dnipropetrovsk,45.4
2015,radiation,urban_pipelines,13_reg_Dnipropetrovsk,0.0
2015,radiation,rural_pipelines,13_reg_Dnipropetrovsk,0.0
2015,radiation,non_centralized_1,13_reg_Dnipropetrovsk,0.0
2015,microbiological,urban_pipelines,14_reg_Donetsk,2.8
2015,microbiological,rural_pipelines,14_reg_Donetsk,5.5
2015,microbiological,non_centralized_1,14_reg_Donetsk,25.1
2015,sanitary_chemical,urban_pipelines,14_reg_Donetsk,10.2
2015,sanitary_chemical,rural_pipelines,14_reg_Donetsk,19.0
2015,sanitary_chemical,non_centralized_1,14_reg_Donetsk,70.6
2015,radiation,urban_pipelines,14_reg_Donetsk,0.0
2015,radiation,rural_pipelines,14_reg_Donetsk,0.0
2015,radiation,non_centralized_1,14_reg_Donetsk,0.0
2015,microbiological,urban_pipelines,15_reg_Zhytomyr,1.7
2015,microbiological,rural_pipelines,15_reg_Zhytomyr,8.3
2015,microbiological,non_centralized_1,15_reg_Zhytomyr,18.2
2015,sanitary_chemical,urban_pipelines,15_reg_Zhytomyr,13.7
2015,sanitary_chemical,rural_pipelines,15_reg_Zhytomyr,23.5
2015,sanitary_chemical,non_centralized_1,15_reg_Zhytomyr,36.0
2015,radiation,urban_pipelines,15_reg_Zhytomyr,0.0
2015,radiation,rural_pipelines,15_reg_Zhytomyr,0.0
2015,radiation,non_centralized_1,15_reg_Zhytomyr,0.0
2015,microbiological,urban_pipelines,16_reg_Zakarpattya,6.5
2015,microbiological,rural_pipelines,16_reg_Zakarpattya,6.9
2015,microbiological,non_centralized_1,16_reg_Zakarpattya,12.6
2015,sanitary_chemical,urban_pipelines,16_reg_Zakarpattya,5.2
2015,sanitary_chemical,rural_pipelines,16_reg_Zakarpattya,8.0
2015,sanitary_chemical,non_centralized_1,16_reg_Zakarpattya,12.2
2015,radiation,urban_pipelines,16_reg_Zakarpattya,0.0
2015,radiation,rural_pipelines,16_reg_Zakarpattya,0.0
2015,radiation,non_centralized_1,16_reg_Zakarpattya,0.0
2015,microbiological,urban_pipelines,17_reg_Zaporizhzhya,1.9
2015,microbiological,rural_pipelines,17_reg_Zaporizhzhya,2.3
2015,microbiological,non_centralized_1,17_reg_Zaporizhzhya,0.6
2015,sanitary_chemical,urban_pipelines,17_reg_Zaporizhzhya,17.3
