Year,By form of discrimination,By spheres of public relations,Sex,Type of residence,Value
2018,,freedom_from_discrimination_in_the_media,,,
2019,,freedom_from_discrimination_in_the_media,,,
2020,,freedom_from_discrimination_in_the_media,,,
2021,,freedom_from_discrimination_in_the_media,,,
2022,,freedom_from_discrimination_in_the_media,,,
2023,,freedom_from_discrimination_in_the_media,,,
2024,,freedom_from_discrimination_in_the_media,,,3.0
2015,,freedom_from_discrimination_in_the_field_of_advertising,,,
2016,,freedom_from_discrimination_in_the_field_of_advertising,,,
2017,,freedom_from_discrimination_in_the_field_of_advertising,,,
2018,,freedom_from_discrimination_in_the_field_of_advertising,,,
2019,,freedom_from_discrimination_in_the_field_of_advertising,,,
2020,,freedom_from_discrimination_in_the_field_of_advertising,,,
2021,,freedom_from_discrimination_in_the_field_of_advertising,,,
2022,,freedom_from_discrimination_in_the_field_of_advertising,,,
2023,,freedom_from_discrimination_in_the_field_of_advertising,,,3.0
2024,,freedom_from_discrimination_in_the_field_of_advertising,,,20.0
2015,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2016,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2017,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2018,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2019,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2020,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2021,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2022,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2023,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,
2024,,freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,,,3.0
2015,,,females_1,,0.23
2016,,,females_1,,0.16
2017,,,females_1,,0.34
2018,,,females_1,,0.86
2019,,,females_1,,0.7
2020,,,females_1,,0.4
2021,,,females_1,,0.46
2022,,,females_1,,0.26
2023,,,females_1,,0.21
2024,,,females_1,,0.42
2015,,,males_1,,0.32
2016,,,males_1,,0.29
2017,,,males_1,,1.7
2018,,,males_1,,0.85
2019,,,males_1,,0.49
2020,,,males_1,,0.48
2021,,,males_1,,0.42
2022,,,males_1,,0.38
2023,,,males_1,,0.27
2024,,,males_1,,0.62
2015,,,,urban,
2016,,,,urban,
2017,,,,urban,
2018,,,,urban,
2019,,,,urban,
2020,,,,urban,
2021,,,,urban,
2022,,,,urban,
2023,,,,urban,
2024,,,,urban,
2015,,,,rural,
2016,,,,rural,
2017,,,,rural,
2018,,,,rural,
2019,,,,rural,
2020,,,,rural,
2021,,,,rural,
2022,,,,rural,
2023,,,,rural,
2024,,,,rural,
