Year,Type of economic activity,By river basins,Region,Value
2020,,,23_reg_Mykolayiv,20.69
2021,,,23_reg_Mykolayiv,20.241
2022,,,23_reg_Mykolayiv,13.286
2023,,,23_reg_Mykolayiv,14.643
2024,,,23_reg_Mykolayiv,16.732
2015,,,24_reg_Odesa,43.69
2016,,,24_reg_Odesa,28.53
2017,,,24_reg_Odesa,32.65
2018,,,24_reg_Odesa,14.91
2019,,,24_reg_Odesa,36.21
2020,,,24_reg_Odesa,24.558
2021,,,24_reg_Odesa,33.084
2022,,,24_reg_Odesa,4.74
2023,,,24_reg_Odesa,13.548
2024,,,24_reg_Odesa,10.262
2015,,,25_reg_Poltava,2.931
2016,,,25_reg_Poltava,2.847
2017,,,25_reg_Poltava,1.568
2018,,,25_reg_Poltava,2.174
2019,,,25_reg_Poltava,1.974
2020,,,25_reg_Poltava,2.02
2021,,,25_reg_Poltava,24.806
2022,,,25_reg_Poltava,23.321
2023,,,25_reg_Poltava,15.643
2024,,,25_reg_Poltava,6.811
2015,,,26_reg_Rivne,5.67
2016,,,26_reg_Rivne,4.626
2017,,,26_reg_Rivne,4.498
2018,,,26_reg_Rivne,4.449
2019,,,26_reg_Rivne,4.631
2020,,,26_reg_Rivne,14.983
2021,,,26_reg_Rivne,8.25
2022,,,26_reg_Rivne,4.127
2023,,,26_reg_Rivne,7.576
2024,,,26_reg_Rivne,2.925
2015,,,27_reg_Sumy,21.98
2016,,,27_reg_Sumy,23.73
2017,,,27_reg_Sumy,23.03
2018,,,27_reg_Sumy,23.11
2019,,,27_reg_Sumy,21.23
2020,,,27_reg_Sumy,19.889
2021,,,27_reg_Sumy,18.51
2022,,,27_reg_Sumy,14.838
2023,,,27_reg_Sumy,13.904
2024,,,27_reg_Sumy,13.974
2015,,,28_reg_Ternopil,2.327
2016,,,28_reg_Ternopil,2.454
2017,,,28_reg_Ternopil,2.603
2018,,,28_reg_Ternopil,2.554
2019,,,28_reg_Ternopil,2.371
2020,,,28_reg_Ternopil,2.067
2021,,,28_reg_Ternopil,2.173
2022,,,28_reg_Ternopil,2.074
2023,,,28_reg_Ternopil,1.667
2024,,,28_reg_Ternopil,1.651
2015,,,29_reg_Kharkiv,10.41
2016,,,29_reg_Kharkiv,9.77
2017,,,29_reg_Kharkiv,9.81
2018,,,29_reg_Kharkiv,14.07
2019,,,29_reg_Kharkiv,14.73
2020,,,29_reg_Kharkiv,12.547
2021,,,29_reg_Kharkiv,5.367
2022,,,29_reg_Kharkiv,3.322
2023,,,29_reg_Kharkiv,3.852
2024,,,29_reg_Kharkiv,3.875
2015,,,30_reg_Kherson,0.153
2016,,,30_reg_Kherson,0.989
2017,,,30_reg_Kherson,0.912
2018,,,30_reg_Kherson,2.106
2019,,,30_reg_Kherson,0.639
2020,,,30_reg_Kherson,2.525
2021,,,30_reg_Kherson,8.838
2022,,,30_reg_Kherson,
2023,,,30_reg_Kherson,
2024,,,30_reg_Kherson,
2015,,,31_reg_Khmelnytskiy,0.648
2016,,,31_reg_Khmelnytskiy,0.427
2017,,,31_reg_Khmelnytskiy,0.606
2018,,,31_reg_Khmelnytskiy,1.001
2019,,,31_reg_Khmelnytskiy,1.046
2020,,,31_reg_Khmelnytskiy,1.077
2021,,,31_reg_Khmelnytskiy,1.229
2022,,,31_reg_Khmelnytskiy,0.394
2023,,,31_reg_Khmelnytskiy,0.586
