Year,Region,Age,Gender,group_16,group_21,Value
2015,,,,,,
2016,,,,,,11.9
2017,,,,,,
2018,,,,,,18.4
2019,,,,,,
2020,,,,,,25.4
2021,,,,,,
2022,,,,,,
2023,,,,,,23.8
2024,,,,,,
2015,Ukraine,,,,,
2016,Ukraine,,,,,11.9
2017,Ukraine,,,,,
2018,Ukraine,,,,,18.4
2019,Ukraine,,,,,
2020,Ukraine,,,,,25.4
2021,Ukraine,,,,,
2022,Ukraine,,,,,
2023,Ukraine,,,,,23.8
2024,Ukraine,,,,,
2015,West,,,,,
2016,West,,,,,14.4
2017,West,,,,,
2018,West,,,,,10.6
2019,West,,,,,
2020,West,,,,,
2021,West,,,,,
2022,West,,,,,
2023,West,,,,,21.9
2024,West,,,,,
2015,Center,,,,,
2016,Center,,,,,10.6
2017,Center,,,,,
2018,Center,,,,,37.0
2019,Center,,,,,
2020,Center,,,,,
2021,Center,,,,,
2022,Center,,,,,
2023,Center,,,,,22.2
2024,Center,,,,,
2015,South,,,,,
2016,South,,,,,9.0
2017,South,,,,,
2018,South,,,,,20.7
2019,South,,,,,
2020,South,,,,,
2021,South,,,,,
2022,South,,,,,
2023,South,,,,,22.1
2024,South,,,,,
2015,East,,,,,
2016,East,,,,,12.3
2017,East,,,,,
2018,East,,,,,27.2
2019,East,,,,,
2020,East,,,,,
2021,East,,,,,
2022,East,,,,,
2023,East,,,,,32.1
2024,East,,,,,
2015,35_reg_Kyiv_city,,,,,
2016,35_reg_Kyiv_city,,,,,18.8
2017,35_reg_Kyiv_city,,,,,
2018,35_reg_Kyiv_city,,,,,34.1
2019,35_reg_Kyiv_city,,,,,
2020,35_reg_Kyiv_city,,,,,
2021,35_reg_Kyiv_city,,,,,
2022,35_reg_Kyiv_city,,,,,
2023,35_reg_Kyiv_city,,,,,30.9
2024,35_reg_Kyiv_city,,,,,
2015,,group_label_256,,,,
2016,,group_label_256,,,,
2017,,group_label_256,,,,
2018,,group_label_256,,,,21.8
2019,,group_label_256,,,,
2020,,group_label_256,,,,
2021,,group_label_256,,,,
2022,,group_label_256,,,,
2023,,group_label_256,,,,24.8
2024,,group_label_256,,,,
2015,,group_label_257,,,,
2016,,group_label_257,,,,
2017,,group_label_257,,,,
2018,,group_label_257,,,,25.5
2019,,group_label_257,,,,
2020,,group_label_257,,,,
2021,,group_label_257,,,,
2022,,group_label_257,,,,
2023,,group_label_257,,,,26.5
2024,,group_label_257,,,,
2015,,group_label_258,,,,
2016,,group_label_258,,,,
2017,,group_label_258,,,,
2018,,group_label_258,,,,25.3
2019,,group_label_258,,,,
2020,,group_label_258,,,,
2021,,group_label_258,,,,
2022,,group_label_258,,,,
2023,,group_label_258,,,,18.8
2024,,group_label_258,,,,
2015,,,males,,,
2016,,,males,,,13.4
2017,,,males,,,
2018,,,males,,,25.1
2019,,,males,,,
2020,,,males,,,
2021,,,males,,,
2022,,,males,,,
2023,,,males,,,25.7
2024,,,males,,,
2015,,,2_females,,,
2016,,,2_females,,,10.6
2017,,,2_females,,,
2018,,,2_females,,,24.0
2019,,,2_females,,,
2020,,,2_females,,,
2021,,,2_females,,,
2022,,,2_females,,,
2023,,,2_females,,,22.1
2024,,,2_females,,,
2015,,,,group_label_259,,
2016,,,,group_label_259,,11.8
2017,,,,group_label_259,,
2018,,,,group_label_259,,24.7
2019,,,,group_label_259,,
2020,,,,group_label_259,,
2021,,,,group_label_259,,
2022,,,,group_label_259,,
2023,,,,group_label_259,,24.9
2024,,,,group_label_259,,
2015,,,,group_label_260,,
2016,,,,group_label_260,,14.0
2017,,,,group_label_260,,
2018,,,,group_label_260,,21.8
2019,,,,group_label_260,,
2020,,,,group_label_260,,
2021,,,,group_label_260,,
2022,,,,group_label_260,,
2023,,,,group_label_260,,25.0
2024,,,,group_label_260,,
2015,,,,group_label_261,,
2016,,,,group_label_261,,8.9
2017,,,,group_label_261,,
2018,,,,group_label_261,,24.5
2019,,,,group_label_261,,
2020,,,,group_label_261,,
2021,,,,group_label_261,,
2022,,,,group_label_261,,
2023,,,,group_label_261,,19.1
2024,,,,group_label_261,,
2015,,,,,group_label_262,
2016,,,,,group_label_262,
2017,,,,,group_label_262,
2018,,,,,group_label_262,
2019,,,,,group_label_262,
2020,,,,,group_label_262,
2021,,,,,group_label_262,
2022,,,,,group_label_262,
2023,,,,,group_label_262,16.1
2024,,,,,group_label_262,
2015,,,,,group_label_263,
2016,,,,,group_label_263,
2017,,,,,group_label_263,
2018,,,,,group_label_263,
2019,,,,,group_label_263,
2020,,,,,group_label_263,
2021,,,,,group_label_263,
2022,,,,,group_label_263,
2023,,,,,group_label_263,28.0
2024,,,,,group_label_263,
2015,,,,,group_label_264,
2016,,,,,group_label_264,
2017,,,,,group_label_264,
2018,,,,,group_label_264,
2019,,,,,group_label_264,
2020,,,,,group_label_264,
2021,,,,,group_label_264,
2022,,,,,group_label_264,
2023,,,,,group_label_264,30.1
2024,,,,,group_label_264,
