Year,By type of indicators,Type of water supply,Region,Value
2015,microbiological indicators,urban water pipelines,Ukraine,3.1
2016,microbiological indicators,urban water pipelines,Ukraine,4.3
2017,microbiological indicators,urban water pipelines,Ukraine,4.6
2018,microbiological indicators,urban water pipelines,Ukraine,5.1
2019,microbiological indicators,urban water pipelines,Ukraine,5.7
2020,microbiological indicators,urban water pipelines,Ukraine,4.7
2021,microbiological indicators,urban water pipelines,Ukraine,5.1
2022,microbiological indicators,urban water pipelines,Ukraine,2.1
2023,microbiological indicators,urban water pipelines,Ukraine,2.7
2024,microbiological indicators,urban water pipelines,Ukraine,2.3
2015,microbiological indicators,rural water pipelines,Ukraine,7.6
2016,microbiological indicators,rural water pipelines,Ukraine,10.4
2017,microbiological indicators,rural water pipelines,Ukraine,11.2
2018,microbiological indicators,rural water pipelines,Ukraine,11.8
2019,microbiological indicators,rural water pipelines,Ukraine,11.4
2020,microbiological indicators,rural water pipelines,Ukraine,13.8
2021,microbiological indicators,rural water pipelines,Ukraine,11.9
2022,microbiological indicators,rural water pipelines,Ukraine,11.4
2023,microbiological indicators,rural water pipelines,Ukraine,11.0
2024,microbiological indicators,rural water pipelines,Ukraine,10.2
2015,microbiological indicators,non-centralized water supply,Ukraine,18.0
2016,microbiological indicators,non-centralized water supply,Ukraine,23.1
2017,microbiological indicators,non-centralized water supply,Ukraine,20.4
2018,microbiological indicators,non-centralized water supply,Ukraine,23.4
2019,microbiological indicators,non-centralized water supply,Ukraine,24.6
2020,microbiological indicators,non-centralized water supply,Ukraine,22.6
2021,microbiological indicators,non-centralized water supply,Ukraine,22.9
2022,microbiological indicators,non-centralized water supply,Ukraine,28.3
2023,microbiological indicators,non-centralized water supply,Ukraine,25.1
2024,microbiological indicators,non-centralized water supply,Ukraine,25.4
2015,microbiological indicators,centralized,Ukraine,4.6
2016,microbiological indicators,centralized,Ukraine,6.4
2017,microbiological indicators,centralized,Ukraine,6.7
2018,microbiological indicators,centralized,Ukraine,7.7
2019,microbiological indicators,centralized,Ukraine,8.2
2020,microbiological indicators,centralized,Ukraine,7.6
2021,microbiological indicators,centralized,Ukraine,7.5
2022,microbiological indicators,centralized,Ukraine,3.5
2023,microbiological indicators,centralized,Ukraine,4.3
2024,microbiological indicators,centralized,Ukraine,3.8
2015,microbiological indicators,urban water pipelines,Ukraine,3.1
2016,microbiological indicators,urban water pipelines,Ukraine,4.3
2017,microbiological indicators,urban water pipelines,Ukraine,4.6
2018,microbiological indicators,urban water pipelines,Ukraine,5.1
2019,microbiological indicators,urban water pipelines,Ukraine,5.7
2020,microbiological indicators,urban water pipelines,Ukraine,4.7
2021,microbiological indicators,urban water pipelines,Ukraine,5.1
2022,microbiological indicators,urban water pipelines,Ukraine,2.1
2023,microbiological indicators,urban water pipelines,Ukraine,2.7
2024,microbiological indicators,urban water pipelines,Ukraine,2.3
2015,microbiological indicators,rural water pipelines,Ukraine,7.6
2016,microbiological indicators,rural water pipelines,Ukraine,10.4
2017,microbiological indicators,rural water pipelines,Ukraine,11.2
2018,microbiological indicators,rural water pipelines,Ukraine,11.8
2019,microbiological indicators,rural water pipelines,Ukraine,11.4
2020,microbiological indicators,rural water pipelines,Ukraine,13.8
2021,microbiological indicators,rural water pipelines,Ukraine,11.9
2022,microbiological indicators,rural water pipelines,Ukraine,11.4
2023,microbiological indicators,rural water pipelines,Ukraine,11.0
2024,microbiological indicators,rural water pipelines,Ukraine,10.2
2015,microbiological indicators,non-centralized water supply,Ukraine,18.0
2016,microbiological indicators,non-centralized water supply,Ukraine,23.1
2017,microbiological indicators,non-centralized water supply,Ukraine,20.4
2018,microbiological indicators,non-centralized water supply,Ukraine,23.4
2019,microbiological indicators,non-centralized water supply,Ukraine,24.6
2020,microbiological indicators,non-centralized water supply,Ukraine,22.6
2021,microbiological indicators,non-centralized water supply,Ukraine,22.9
2022,microbiological indicators,non-centralized water supply,Ukraine,28.3
2023,microbiological indicators,non-centralized water supply,Ukraine,25.1
2024,microbiological indicators,non-centralized water supply,Ukraine,25.4
2015,sanitary and chemical indicators,urban water pipelines,Ukraine,12.4
2016,sanitary and chemical indicators,urban water pipelines,Ukraine,13.7
2017,sanitary and chemical indicators,urban water pipelines,Ukraine,16.2
2018,sanitary and chemical indicators,urban water pipelines,Ukraine,18.5
2019,sanitary and chemical indicators,urban water pipelines,Ukraine,17.2
2020,sanitary and chemical indicators,urban water pipelines,Ukraine,16.8
2021,sanitary and chemical indicators,urban water pipelines,Ukraine,18.2
2022,sanitary and chemical indicators,urban water pipelines,Ukraine,12.1
2023,sanitary and chemical indicators,urban water pipelines,Ukraine,11.3
2024,sanitary and chemical indicators,urban water pipelines,Ukraine,11.7
2015,sanitary and chemical indicators,rural water pipelines,Ukraine,22.5
2016,sanitary and chemical indicators,rural water pipelines,Ukraine,25.5
2017,sanitary and chemical indicators,rural water pipelines,Ukraine,27.4
2018,sanitary and chemical indicators,rural water pipelines,Ukraine,29.8
2019,sanitary and chemical indicators,rural water pipelines,Ukraine,31.2
2020,sanitary and chemical indicators,rural water pipelines,Ukraine,26.9
2021,sanitary and chemical indicators,rural water pipelines,Ukraine,28.9
2022,sanitary and chemical indicators,rural water pipelines,Ukraine,25.4
2023,sanitary and chemical indicators,rural water pipelines,Ukraine,28.9
2024,sanitary and chemical indicators,rural water pipelines,Ukraine,27.7
2015,sanitary and chemical indicators,non-centralized water supply,Ukraine,32.7
2016,sanitary and chemical indicators,non-centralized water supply,Ukraine,33.2
2017,sanitary and chemical indicators,non-centralized water supply,Ukraine,32.6
2018,sanitary and chemical indicators,non-centralized water supply,Ukraine,34.4
2019,sanitary and chemical indicators,non-centralized water supply,Ukraine,30.4
2020,sanitary and chemical indicators,non-centralized water supply,Ukraine,32.6
2021,sanitary and chemical indicators,non-centralized water supply,Ukraine,33.5
2022,sanitary and chemical indicators,non-centralized water supply,Ukraine,39.9
2023,sanitary and chemical indicators,non-centralized water supply,Ukraine,35.0
2024,sanitary and chemical indicators,non-centralized water supply,Ukraine,32.9
2015,radiation indicators,urban water pipelines,Ukraine,1.6
2016,radiation indicators,urban water pipelines,Ukraine,1.1
2017,radiation indicators,urban water pipelines,Ukraine,4.3
2018,radiation indicators,urban water pipelines,Ukraine,4.0
2019,radiation indicators,urban water pipelines,Ukraine,4.1
2020,radiation indicators,urban water pipelines,Ukraine,0.8
2021,radiation indicators,urban water pipelines,Ukraine,2.0
2022,radiation indicators,urban water pipelines,Ukraine,0.5
2023,radiation indicators,urban water pipelines,Ukraine,0.6
2024,radiation indicators,urban water pipelines,Ukraine,1.0
2015,radiation indicators,rural water pipelines,Ukraine,0.0
2016,radiation indicators,rural water pipelines,Ukraine,0.5
2017,radiation indicators,rural water pipelines,Ukraine,6.6
2018,radiation indicators,rural water pipelines,Ukraine,9.8
2019,radiation indicators,rural water pipelines,Ukraine,12.5
2020,radiation indicators,rural water pipelines,Ukraine,6.5
2021,radiation indicators,rural water pipelines,Ukraine,2.8
2022,radiation indicators,rural water pipelines,Ukraine,12.2
2023,radiation indicators,rural water pipelines,Ukraine,2.9
2024,radiation indicators,rural water pipelines,Ukraine,1.7
2015,radiation indicators,non-centralized water supply,Ukraine,1.7
2016,radiation indicators,non-centralized water supply,Ukraine,0.4
2017,radiation indicators,non-centralized water supply,Ukraine,3.0
2018,radiation indicators,non-centralized water supply,Ukraine,2.5
2019,radiation indicators,non-centralized water supply,Ukraine,4.0
2020,radiation indicators,non-centralized water supply,Ukraine,8.8
2021,radiation indicators,non-centralized water supply,Ukraine,7.1
2022,radiation indicators,non-centralized water supply,Ukraine,4.9
2023,radiation indicators,non-centralized water supply,Ukraine,6.3
2024,radiation indicators,non-centralized water supply,Ukraine,2.7
2015,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2016,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2017,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2018,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2019,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2020,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2021,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2022,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2023,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2024,microbiological indicators,urban water pipelines,Autonomous Republic of Crimea,
2015,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2016,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2017,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2018,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2019,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2020,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2021,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2022,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2023,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2024,microbiological indicators,rural water pipelines,Autonomous Republic of Crimea,
2015,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2016,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2017,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2018,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2019,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2020,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2021,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2022,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2023,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2024,microbiological indicators,non-centralized water supply,Autonomous Republic of Crimea,
2015,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2016,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2017,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2018,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2019,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2020,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2021,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2022,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2023,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2024,sanitary and chemical indicators,urban water pipelines,Autonomous Republic of Crimea,
2015,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2016,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2017,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2018,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2019,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2020,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2021,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2022,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2023,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2024,sanitary and chemical indicators,rural water pipelines,Autonomous Republic of Crimea,
2015,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2016,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2017,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2018,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2019,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2020,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2021,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2022,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2023,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2024,sanitary and chemical indicators,non-centralized water supply,Autonomous Republic of Crimea,
2015,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2016,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2017,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2018,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2019,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2020,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2021,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2022,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2023,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2024,radiation indicators,urban water pipelines,Autonomous Republic of Crimea,
2015,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2016,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2017,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2018,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2019,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2020,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2021,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2022,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2023,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2024,radiation indicators,rural water pipelines,Autonomous Republic of Crimea,
2015,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2016,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2017,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2018,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2019,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2020,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2021,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2022,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2023,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2024,radiation indicators,non-centralized water supply,Autonomous Republic of Crimea,
2015,microbiological indicators,urban water pipelines,Vinnytsya,5.2
2016,microbiological indicators,urban water pipelines,Vinnytsya,7.9
2017,microbiological indicators,urban water pipelines,Vinnytsya,7.2
2018,microbiological indicators,urban water pipelines,Vinnytsya,9.7
2019,microbiological indicators,urban water pipelines,Vinnytsya,11.8
2020,microbiological indicators,urban water pipelines,Vinnytsya,9.7
2021,microbiological indicators,urban water pipelines,Vinnytsya,8.8
2022,microbiological indicators,urban water pipelines,Vinnytsya,3.4
2023,microbiological indicators,urban water pipelines,Vinnytsya,5.4
2024,microbiological indicators,urban water pipelines,Vinnytsya,2.3
2015,microbiological indicators,rural water pipelines,Vinnytsya,8.6
2016,microbiological indicators,rural water pipelines,Vinnytsya,16.9
2017,microbiological indicators,rural water pipelines,Vinnytsya,11.2
2018,microbiological indicators,rural water pipelines,Vinnytsya,20.5
2019,microbiological indicators,rural water pipelines,Vinnytsya,22.1
2020,microbiological indicators,rural water pipelines,Vinnytsya,18.9
2021,microbiological indicators,rural water pipelines,Vinnytsya,16.1
2022,microbiological indicators,rural water pipelines,Vinnytsya,10.3
2023,microbiological indicators,rural water pipelines,Vinnytsya,18.9
2024,microbiological indicators,rural water pipelines,Vinnytsya,17.2
2015,microbiological indicators,non-centralized water supply,Vinnytsya,26.4
2016,microbiological indicators,non-centralized water supply,Vinnytsya,6.1
2017,microbiological indicators,non-centralized water supply,Vinnytsya,32.6
2018,microbiological indicators,non-centralized water supply,Vinnytsya,35.7
2019,microbiological indicators,non-centralized water supply,Vinnytsya,38.3
2020,microbiological indicators,non-centralized water supply,Vinnytsya,39.3
2021,microbiological indicators,non-centralized water supply,Vinnytsya,44.2
2022,microbiological indicators,non-centralized water supply,Vinnytsya,48.6
2023,microbiological indicators,non-centralized water supply,Vinnytsya,47.7
2024,microbiological indicators,non-centralized water supply,Vinnytsya,60.4
2015,sanitary and chemical indicators,urban water pipelines,Vinnytsya,1.8
2016,sanitary and chemical indicators,urban water pipelines,Vinnytsya,3.7
2017,sanitary and chemical indicators,urban water pipelines,Vinnytsya,10.4
2018,sanitary and chemical indicators,urban water pipelines,Vinnytsya,15.6
2019,sanitary and chemical indicators,urban water pipelines,Vinnytsya,9.5
2020,sanitary and chemical indicators,urban water pipelines,Vinnytsya,9.2
2021,sanitary and chemical indicators,urban water pipelines,Vinnytsya,14.7
2022,sanitary and chemical indicators,urban water pipelines,Vinnytsya,12.9
2023,sanitary and chemical indicators,urban water pipelines,Vinnytsya,12.8
2024,sanitary and chemical indicators,urban water pipelines,Vinnytsya,12.2
2015,sanitary and chemical indicators,rural water pipelines,Vinnytsya,3.2
2016,sanitary and chemical indicators,rural water pipelines,Vinnytsya,14.1
2017,sanitary and chemical indicators,rural water pipelines,Vinnytsya,10.2
2018,sanitary and chemical indicators,rural water pipelines,Vinnytsya,19.8
2019,sanitary and chemical indicators,rural water pipelines,Vinnytsya,17.2
2020,sanitary and chemical indicators,rural water pipelines,Vinnytsya,13.3
2021,sanitary and chemical indicators,rural water pipelines,Vinnytsya,10.7
2022,sanitary and chemical indicators,rural water pipelines,Vinnytsya,9.0
2023,sanitary and chemical indicators,rural water pipelines,Vinnytsya,15.0
2024,sanitary and chemical indicators,rural water pipelines,Vinnytsya,18.4
2015,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,26.1
2016,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,35.6
2017,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,29.5
2018,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,40.7
2019,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,44.8
2020,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,44.2
2021,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,44.0
2022,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,48.6
2023,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,47.7
2024,sanitary and chemical indicators,non-centralized water supply,Vinnytsya,47.2
2015,radiation indicators,urban water pipelines,Vinnytsya,0.0
2016,radiation indicators,urban water pipelines,Vinnytsya,0.0
2017,radiation indicators,urban water pipelines,Vinnytsya,0.0
2018,radiation indicators,urban water pipelines,Vinnytsya,0.0
2019,radiation indicators,urban water pipelines,Vinnytsya,0.0
2020,radiation indicators,urban water pipelines,Vinnytsya,0.0
2021,radiation indicators,urban water pipelines,Vinnytsya,0.0
2022,radiation indicators,urban water pipelines,Vinnytsya,0.0
2023,radiation indicators,urban water pipelines,Vinnytsya,0.0
2024,radiation indicators,urban water pipelines,Vinnytsya,0.0
2015,radiation indicators,rural water pipelines,Vinnytsya,0.0
2016,radiation indicators,rural water pipelines,Vinnytsya,0.0
2017,radiation indicators,rural water pipelines,Vinnytsya,0.0
2018,radiation indicators,rural water pipelines,Vinnytsya,0.0
2019,radiation indicators,rural water pipelines,Vinnytsya,0.0
2020,radiation indicators,rural water pipelines,Vinnytsya,0.0
2021,radiation indicators,rural water pipelines,Vinnytsya,0.0
2022,radiation indicators,rural water pipelines,Vinnytsya,0.0
2023,radiation indicators,rural water pipelines,Vinnytsya,0.0
2024,radiation indicators,rural water pipelines,Vinnytsya,0.0
2015,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2016,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2017,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2018,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2019,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2020,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2021,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2022,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2023,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2024,radiation indicators,non-centralized water supply,Vinnytsya,0.0
2015,microbiological indicators,urban water pipelines,Volyn,0.3
2016,microbiological indicators,urban water pipelines,Volyn,0.1
2017,microbiological indicators,urban water pipelines,Volyn,1.2
2018,microbiological indicators,urban water pipelines,Volyn,1.8
2019,microbiological indicators,urban water pipelines,Volyn,2.1
2020,microbiological indicators,urban water pipelines,Volyn,0.6
2021,microbiological indicators,urban water pipelines,Volyn,0.5
2022,microbiological indicators,urban water pipelines,Volyn,1.5
2023,microbiological indicators,urban water pipelines,Volyn,2.6
2024,microbiological indicators,urban water pipelines,Volyn,0.5
2015,microbiological indicators,rural water pipelines,Volyn,2.3
2016,microbiological indicators,rural water pipelines,Volyn,4.3
2017,microbiological indicators,rural water pipelines,Volyn,4.2
2018,microbiological indicators,rural water pipelines,Volyn,8.0
2019,microbiological indicators,rural water pipelines,Volyn,6.0
2020,microbiological indicators,rural water pipelines,Volyn,6.6
2021,microbiological indicators,rural water pipelines,Volyn,4.3
2022,microbiological indicators,rural water pipelines,Volyn,8.7
2023,microbiological indicators,rural water pipelines,Volyn,9.8
2024,microbiological indicators,rural water pipelines,Volyn,11.4
2015,microbiological indicators,non-centralized water supply,Volyn,5.5
2016,microbiological indicators,non-centralized water supply,Volyn,37.9
2017,microbiological indicators,non-centralized water supply,Volyn,9.1
2018,microbiological indicators,non-centralized water supply,Volyn,7.4
2019,microbiological indicators,non-centralized water supply,Volyn,6.9
2020,microbiological indicators,non-centralized water supply,Volyn,8.0
2021,microbiological indicators,non-centralized water supply,Volyn,5.8
2022,microbiological indicators,non-centralized water supply,Volyn,18.3
2023,microbiological indicators,non-centralized water supply,Volyn,25.0
2024,microbiological indicators,non-centralized water supply,Volyn,13.3
2015,sanitary and chemical indicators,urban water pipelines,Volyn,2.2
2016,sanitary and chemical indicators,urban water pipelines,Volyn,4.1
2017,sanitary and chemical indicators,urban water pipelines,Volyn,3.7
2018,sanitary and chemical indicators,urban water pipelines,Volyn,3.1
2019,sanitary and chemical indicators,urban water pipelines,Volyn,3.1
2020,sanitary and chemical indicators,urban water pipelines,Volyn,6.0
2021,sanitary and chemical indicators,urban water pipelines,Volyn,3.1
2022,sanitary and chemical indicators,urban water pipelines,Volyn,4.1
2023,sanitary and chemical indicators,urban water pipelines,Volyn,6.5
2024,sanitary and chemical indicators,urban water pipelines,Volyn,1.1
2015,sanitary and chemical indicators,rural water pipelines,Volyn,8.8
2016,sanitary and chemical indicators,rural water pipelines,Volyn,11.6
2017,sanitary and chemical indicators,rural water pipelines,Volyn,9.2
2018,sanitary and chemical indicators,rural water pipelines,Volyn,11.9
2019,sanitary and chemical indicators,rural water pipelines,Volyn,13.3
2020,sanitary and chemical indicators,rural water pipelines,Volyn,8.8
2021,sanitary and chemical indicators,rural water pipelines,Volyn,12.5
2022,sanitary and chemical indicators,rural water pipelines,Volyn,17.8
2023,sanitary and chemical indicators,rural water pipelines,Volyn,14.5
2024,sanitary and chemical indicators,rural water pipelines,Volyn,10.2
2015,sanitary and chemical indicators,non-centralized water supply,Volyn,21.3
2016,sanitary and chemical indicators,non-centralized water supply,Volyn,79.1
2017,sanitary and chemical indicators,non-centralized water supply,Volyn,29.2
2018,sanitary and chemical indicators,non-centralized water supply,Volyn,24.5
2019,sanitary and chemical indicators,non-centralized water supply,Volyn,29.6
2020,sanitary and chemical indicators,non-centralized water supply,Volyn,27.1
2021,sanitary and chemical indicators,non-centralized water supply,Volyn,28.1
2022,sanitary and chemical indicators,non-centralized water supply,Volyn,18.3
2023,sanitary and chemical indicators,non-centralized water supply,Volyn,25.0
2024,sanitary and chemical indicators,non-centralized water supply,Volyn,33.5
2015,radiation indicators,urban water pipelines,Volyn,0.0
2016,radiation indicators,urban water pipelines,Volyn,0.0
2017,radiation indicators,urban water pipelines,Volyn,0.0
2018,radiation indicators,urban water pipelines,Volyn,0.0
2019,radiation indicators,urban water pipelines,Volyn,0.0
2020,radiation indicators,urban water pipelines,Volyn,0.0
2021,radiation indicators,urban water pipelines,Volyn,0.0
2022,radiation indicators,urban water pipelines,Volyn,0.0
2023,radiation indicators,urban water pipelines,Volyn,0.0
2024,radiation indicators,urban water pipelines,Volyn,0.0
2015,radiation indicators,rural water pipelines,Volyn,0.0
2016,radiation indicators,rural water pipelines,Volyn,0.0
2017,radiation indicators,rural water pipelines,Volyn,0.0
2018,radiation indicators,rural water pipelines,Volyn,0.0
2019,radiation indicators,rural water pipelines,Volyn,0.0
2020,radiation indicators,rural water pipelines,Volyn,0.0
2021,radiation indicators,rural water pipelines,Volyn,0.0
2022,radiation indicators,rural water pipelines,Volyn,0.0
2023,radiation indicators,rural water pipelines,Volyn,0.0
2024,radiation indicators,rural water pipelines,Volyn,0.0
2015,radiation indicators,non-centralized water supply,Volyn,0.0
2016,radiation indicators,non-centralized water supply,Volyn,0.0
2017,radiation indicators,non-centralized water supply,Volyn,0.0
2018,radiation indicators,non-centralized water supply,Volyn,0.0
2019,radiation indicators,non-centralized water supply,Volyn,0.0
2020,radiation indicators,non-centralized water supply,Volyn,0.0
2021,radiation indicators,non-centralized water supply,Volyn,0.0
2022,radiation indicators,non-centralized water supply,Volyn,0.0
2023,radiation indicators,non-centralized water supply,Volyn,0.0
2024,radiation indicators,non-centralized water supply,Volyn,0.0
2015,microbiological indicators,urban water pipelines,Dnipropetrovsk,1.0
2016,microbiological indicators,urban water pipelines,Dnipropetrovsk,2.2
2017,microbiological indicators,urban water pipelines,Dnipropetrovsk,3.1
2018,microbiological indicators,urban water pipelines,Dnipropetrovsk,6.3
2019,microbiological indicators,urban water pipelines,Dnipropetrovsk,7.2
2020,microbiological indicators,urban water pipelines,Dnipropetrovsk,4.9
2021,microbiological indicators,urban water pipelines,Dnipropetrovsk,6.2
2022,microbiological indicators,urban water pipelines,Dnipropetrovsk,1.9
2023,microbiological indicators,urban water pipelines,Dnipropetrovsk,3.7
2024,microbiological indicators,urban water pipelines,Dnipropetrovsk,3.2
2015,microbiological indicators,rural water pipelines,Dnipropetrovsk,0.8
2016,microbiological indicators,rural water pipelines,Dnipropetrovsk,2.7
2017,microbiological indicators,rural water pipelines,Dnipropetrovsk,0.0
2018,microbiological indicators,rural water pipelines,Dnipropetrovsk,11.6
2019,microbiological indicators,rural water pipelines,Dnipropetrovsk,18.0
2020,microbiological indicators,rural water pipelines,Dnipropetrovsk,20.7
2021,microbiological indicators,rural water pipelines,Dnipropetrovsk,18.2
2022,microbiological indicators,rural water pipelines,Dnipropetrovsk,11.1
2023,microbiological indicators,rural water pipelines,Dnipropetrovsk,12.4
2024,microbiological indicators,rural water pipelines,Dnipropetrovsk,9.7
2015,microbiological indicators,non-centralized water supply,Dnipropetrovsk,8.5
2016,microbiological indicators,non-centralized water supply,Dnipropetrovsk,24.7
2017,microbiological indicators,non-centralized water supply,Dnipropetrovsk,4.2
2018,microbiological indicators,non-centralized water supply,Dnipropetrovsk,10.7
2019,microbiological indicators,non-centralized water supply,Dnipropetrovsk,16.1
2020,microbiological indicators,non-centralized water supply,Dnipropetrovsk,12.5
2021,microbiological indicators,non-centralized water supply,Dnipropetrovsk,12.4
2022,microbiological indicators,non-centralized water supply,Dnipropetrovsk,38.3
2023,microbiological indicators,non-centralized water supply,Dnipropetrovsk,40.6
2024,microbiological indicators,non-centralized water supply,Dnipropetrovsk,9.1
2015,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,19.9
2016,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,23.8
2017,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,18.3
2018,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,26.3
2019,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,26.2
2020,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,30.1
2021,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,20.5
2022,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,48.8
2023,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,46.3
