Year,Type of residence,Age,Sex,Region,Value
2017,,up to 18 years,,,23.9
2017,,18–29 years,,,24.6
2017,,30–59 years,,,23.9
2017,,60 years and older,,,30.9
2017,urban,,,,21.7
2017,rural,,,,33.3
2017,,,,Autonomous Republic of Crimea,
2017,,,,Vinnytsya,32.0
2017,,,,Volyn,8.5
2017,,,,Dnipropetrovsk,26.6
2017,,,,Donetsk,19.0
2017,,,,Zhytomyr,9.7
2017,,,,Zakarpattya,93.0
2017,,,,Zaporizhzhya,15.3
2017,,,,Ivano-Frankivsk,68.3
2017,,,,Kyiv,7.9
2017,,,,Kirovohrad,9.6
2017,,,,Luhansk,32.5
2017,,,,Lviv,14.3
2017,,,,Mykolayiv,37.7
2017,,,,Odesa,14.5
2017,,,,Poltava,12.8
2017,,,,Rivne,13.1
2017,,,,Sumy,64.7
2017,,,,Ternopil,27.6
2017,,,,Kharkiv,32.5
2017,,,,Kherson,70.6
2017,,,,Khmelnytskiy,7.0
2017,,,,Cherkasy,31.5
2017,,,,Chernivtsi,10.2
2017,,,,Chernihiv,34.0
2017,,,,city Kyiv,4.8
2017,,,,city Sevastopol,
2018,,,,,
2018,,,women,,
2018,,,men,,
2018,,up to 18 years,,,
2018,,18–29 years,,,
2018,,30–59 years,,,
2018,,60 years and older,,,
2018,urban,,,,
2018,rural,,,,
2018,,,,Autonomous Republic of Crimea,
2018,,,,Vinnytsya,
2018,,,,Volyn,
2018,,,,Dnipropetrovsk,
2018,,,,Donetsk,
2018,,,,Zhytomyr,
2018,,,,Zakarpattya,
2018,,,,Zaporizhzhya,
2018,,,,Ivano-Frankivsk,
2018,,,,Kyiv,
2018,,,,Kirovohrad,
2018,,,,Luhansk,
2018,,,,Lviv,
2018,,,,Mykolayiv,
2018,,,,Odesa,
2018,,,,Poltava,
2018,,,,Rivne,
2018,,,,Sumy,
2018,,,,Ternopil,
2018,,,,Kharkiv,
2018,,,,Kherson,
2018,,,,Khmelnytskiy,
2018,,,,Cherkasy,
2018,,,,Chernivtsi,
2018,,,,Chernihiv,
2018,,,,city Kyiv,
2018,,,,city Sevastopol,
2019,,,,,21.8
2019,,,women,,22.1
2019,,,men,,21.3
2019,,up to 18 years,,,20.3
2019,,18–29 years,,,17.8
2019,,30–59 years,,,20.5
