Value,Disaggregation combinations using this value,Number of indicators
11_reg_Vinnytsya,1,1
12_reg_Volyn,1,1
13_reg_Dnipropetrovsk,1,1
14_reg_Donetsk,1,1
15_reg_Zhytomyr,1,1
16_reg_Zakarpattya,1,1
17_reg_Zaporizhzhya,1,1
18_reg_Ivano-Frankivsk,1,1
19_reg_Kyiv,1,1
20_reg_Kirovohrad,1,1
21_reg_Luhansk,1,1
22_reg_Lviv,1,1
23_reg_Mykolayiv,1,1
24_reg_Odesa,1,1
25_reg_Poltava,1,1
26_reg_Rivne,1,1
27_reg_Sumy,1,1
28_reg_Ternopil,1,1
29_reg_Kharkiv,1,1
30_reg_Kherson,1,1
31_reg_Khmelnytskiy,1,1
32_reg_Cherkasy,1,1
33_reg_Chernivtsi,1,1
34_reg_Chernihiv,1,1
autonomous_Republic_of_Crimea,1,1
city_Sevastopol,1,1
Kyiv_city,1,1
