Value,Disaggregation combinations using this value,Number of indicators
1_all,1,1
age_vac_7_adult,1,1
boys,3,3
children,1,1
female,10,10
females,44,23
females_1,5,5
girls,3,3
male,10,10
males,44,23
males_1,5,5
men,51,10
women,51,10
