Value,Disaggregation combinations using this value,Number of indicators
A499,2,2
A50,1,1
A500,2,2
A501,2,2
A502,2,2
A503,2,2
A504,2,2
A505,2,2
A506,2,2
A507,2,2
A508,2,2
A509,2,2
A51,2,2
A510,2,2
A511,2,2
A512,2,2
A513,2,2
A514,2,2
A515,2,2
A516,2,2
A517,2,2
A518,2,2
A519,2,2
A52,2,2
A520,2,2
A521,2,2
A522,2,2
A523,2,2
A524,2,2
A525,2,2
A526,2,2
A527,2,2
A528,2,2
A529,2,2
A53,2,2
A530,2,2
A531,2,2
A532,2,2
A533,2,2
A534,2,2
A535,2,2
A536,2,2
A537,2,2
A538,2,2
A539,2,2
A54,2,2
A540,2,2
A541,2,2
A542,2,2
A543,2,2
A544,2,2
A545,2,2
A546,2,2
A547,2,2
A548,2,2
A549,2,2
A55,2,2
A550,2,2
A551,2,2
A552,2,2
A553,2,2
A554,2,2
A555,2,2
A556,2,2
A557,2,2
A558,2,2
A559,2,2
A56,2,2
A560,2,2
A561,2,2
A562,2,2
A563,2,2
A564,2,2
A565,2,2
A566,2,2
A567,2,2
A568,2,2
A569,2,2
A57,2,2
A570,2,2
A571,2,2
A572,2,2
A573,2,2
A574,2,2
A575,2,2
A576,2,2
A577,2,2
A578,2,2
A579,2,2
A58,2,2
A580,2,2
A581,2,2
A582,2,2
A583,2,2
A584,2,2
A585,2,2
A586,2,2
A587,2,2
A588,2,2
A589,2,2
A59,2,2
A590,2,2
A591,2,2
A592,2,2
A593,2,2
A594,2,2
A595,2,2
A596,2,2
A597,2,2
A598,2,2
A599,2,2
A60,2,2
A600,2,2
A601,2,2
A602,2,2
A603,2,2
A604,2,2
A605,2,2
A606,2,2
A607,2,2
A608,2,2
A609,2,2
A61,2,2
A610,2,2
A611,2,2
A62,2,2
A63,2,2
A64,1,1
A65,2,2
A66,2,2
A67,2,2
A68,2,2
A69,2,2
A70,2,2
A71,2,2
A72,2,2
A73,2,2
A74,2,2
A75,2,2
A76,2,2
A77,1,1
A78,2,2
A79,2,2
A80,2,2
A81,2,2
A82,1,1
A83,2,2
A84,2,2
A85,2,2
A86,2,2
A87,2,2
A88,2,2
A89,2,2
A90,2,2
A91,2,2
A92,2,2
A93,2,2
A94,2,2
A95,2,2
A96,2,2
A97,2,2
A98,2,2
A99,2,2
accommodation_and_food_service,1,1
administrative_and_support_service,1,1
agriculture_forestry_and_fishing,1,1
arts_sports_entertainment_recreation,1,1
B01,1,1
B02,1,1
B03,1,1
B04,1,1
B05,1,1
B06,1,1
B07,1,1
B08,1,1
B09,1,1
B10,1,1
B100,1,1
B101,1,1
B102,1,1
B103,1,1
B104,1,1
B105,1,1
B106,1,1
B107,1,1
B108,1,1
B109,1,1
B11,1,1
B110,1,1
B111,1,1
B112,1,1
B113,1,1
B114,1,1
B115,1,1
B116,1,1
B117,1,1
B118,1,1
B119,1,1
B12,1,1
B120,1,1
B121,1,1
B122,1,1
B123,1,1
B124,1,1
B125,1,1
B126,1,1
B127,1,1
B128,1,1
B129,1,1
B13,1,1
B130,1,1
B131,1,1
B132,1,1
B133,1,1
B134,1,1
B135,1,1
B136,1,1
B137,1,1
B138,1,1
B139,1,1
B14,1,1
B140,1,1
B141,1,1
B142,1,1
B143,1,1
B144,1,1
B145,1,1
B146,1,1
B147,1,1
B148,1,1
B149,1,1
B15,1,1
B150,1,1
B151,1,1
B152,1,1
B153,1,1
B154,1,1
B155,1,1
B156,1,1
B157,1,1
B158,1,1
B159,1,1
B16,1,1
B160,1,1
B161,1,1
B162,1,1
B163,1,1
B164,1,1
B165,1,1
B166,1,1
B167,1,1
B168,1,1
B169,1,1
B17,1,1
B170,1,1
B171,1,1
B172,1,1
B173,1,1
B174,1,1
B175,1,1
B176,1,1
B177,1,1
B178,1,1
B179,1,1
B18,1,1
B180,1,1
B181,1,1
B182,1,1
B183,1,1
B184,1,1
B185,1,1
B186,1,1
B187,1,1
B188,1,1
B189,1,1
B19,1,1
B190,1,1
B191,1,1
B192,1,1
B193,1,1
B194,1,1
B195,1,1
B196,1,1
B197,1,1
B198,1,1
B199,1,1
B20,1,1
B200,1,1
B201,1,1
B202,1,1
B203,1,1
B204,1,1
B205,1,1
B206,1,1
B207,1,1
B208,1,1
B209,1,1
B21,1,1
B210,1,1
B211,1,1
B212,1,1
B213,1,1
B214,1,1
B215,1,1
B216,1,1
B217,1,1
B218,1,1
B219,1,1
B22,1,1
B220,1,1
B221,1,1
B222,1,1
B223,1,1
B224,1,1
B225,1,1
B226,1,1
B227,1,1
B228,1,1
B229,1,1
B23,1,1
B230,1,1
B231,1,1
B232,1,1
B233,1,1
B234,1,1
B235,1,1
B236,1,1
B237,1,1
B238,1,1
B239,1,1
B24,1,1
B240,1,1
B241,1,1
B242,1,1
B243,1,1
B244,1,1
B245,1,1
B246,1,1
B247,1,1
B248,1,1
B249,1,1
B25,1,1
B250,1,1
B251,1,1
B252,1,1
B253,1,1
B254,1,1
B255,1,1
B256,1,1
B257,1,1
B258,1,1
B259,1,1
B26,1,1
B260,1,1
B261,1,1
B262,1,1
B263,1,1
B264,1,1
B265,1,1
B266,1,1
B267,1,1
B268,1,1
B269,1,1
B27,1,1
B270,1,1
B271,1,1
B272,1,1
B273,1,1
B274,1,1
B275,1,1
B276,1,1
B277,1,1
B278,1,1
B279,1,1
B28,1,1
B280,1,1
B281,1,1
B282,1,1
B283,1,1
B284,1,1
B285,1,1
B286,1,1
B287,1,1
B288,1,1
B289,1,1
B29,1,1
B290,1,1
B291,1,1
B292,1,1
B293,1,1
B294,1,1
B295,1,1
B296,1,1
B297,1,1
B298,1,1
B299,1,1
B30,1,1
B300,1,1
B301,1,1
B302,1,1
B303,1,1
B304,1,1
B305,1,1
B306,1,1
B307,1,1
B308,1,1
B309,1,1
B31,1,1
B310,1,1
B311,1,1
B312,1,1
B313,1,1
B314,1,1
B315,1,1
B316,1,1
B317,1,1
B318,1,1
B319,1,1
B32,1,1
B320,1,1
B321,1,1
B322,1,1
B323,1,1
B324,1,1
B325,1,1
B326,1,1
B327,1,1
B328,1,1
B329,1,1
B33,1,1
B330,1,1
B331,1,1
B332,1,1
B333,1,1
B334,1,1
B335,1,1
B336,1,1
B337,1,1
B338,1,1
B339,1,1
B34,1,1
B340,1,1
B341,1,1
B342,1,1
B343,1,1
B344,1,1
B345,1,1
B346,1,1
B347,1,1
B348,1,1
B349,1,1
B35,1,1
B350,1,1
B351,1,1
B352,1,1
B353,1,1
B354,1,1
B355,1,1
B356,1,1
B357,1,1
B358,1,1
B359,1,1
B36,1,1
B360,1,1
B361,1,1
B362,1,1
B363,1,1
B364,1,1
B365,1,1
B366,1,1
B367,1,1
B368,1,1
B369,1,1
B37,1,1
B370,1,1
B371,1,1
B372,1,1
B373,1,1
B374,1,1
B375,1,1
B376,1,1
B377,1,1
B378,1,1
B379,1,1
B38,1,1
B380,1,1
B381,1,1
B382,1,1
B383,1,1
B384,1,1
B385,1,1
B386,1,1
B387,1,1
B388,1,1
B389,1,1
B39,1,1
B390,1,1
B391,1,1
B392,1,1
B393,1,1
B394,1,1
B395,1,1
B396,1,1
B397,1,1
B398,1,1
B399,1,1
B40,1,1
B400,1,1
B401,1,1
B402,1,1
B403,1,1
B404,1,1
B405,1,1
B406,1,1
B407,1,1
B408,1,1
B409,1,1
B41,1,1
B410,1,1
B411,1,1
B412,1,1
B413,1,1
B414,1,1
B415,1,1
B416,1,1
B417,1,1
B418,1,1
B419,1,1
B42,1,1
B420,1,1
B421,1,1
B422,1,1
B423,1,1
B424,1,1
B425,1,1
B426,1,1
B427,1,1
B428,1,1
B429,1,1
B43,1,1
B430,1,1
B431,1,1
B432,1,1
B433,1,1
B434,1,1
B435,1,1
B436,1,1
B437,1,1
B438,1,1
B439,1,1
B44,1,1
B440,1,1
B441,1,1
B442,1,1
B443,1,1
B444,1,1
B445,1,1
B446,1,1
B447,1,1
B448,1,1
B449,1,1
B45,1,1
B450,1,1
B451,1,1
B452,1,1
B453,1,1
B454,1,1
B455,1,1
B456,1,1
B457,1,1
B458,1,1
B459,1,1
B46,1,1
B460,1,1
B461,1,1
B462,1,1
B463,1,1
B464,1,1
B465,1,1
B466,1,1
B467,1,1
B468,1,1
B469,1,1
B47,1,1
B470,1,1
B471,1,1
B472,1,1
B473,1,1
B474,1,1
B475,1,1
B476,1,1
B477,1,1
B478,1,1
B479,1,1
B48,1,1
B480,1,1
B481,1,1
B482,1,1
B483,1,1
B484,1,1
B485,1,1
B486,1,1
B487,1,1
B488,1,1
B489,1,1
B49,1,1
B490,1,1
B491,1,1
B492,1,1
B493,1,1
B494,1,1
B495,1,1
B496,1,1
B497,1,1
B498,1,1
B499,1,1
B50,1,1
B500,1,1
B501,1,1
B502,1,1
B503,1,1
B504,1,1
B505,1,1
B506,1,1
B507,1,1
B508,1,1
B509,1,1
B51,1,1
B510,1,1
B511,1,1
B512,1,1
B513,1,1
B514,1,1
B515,1,1
B516,1,1
B517,1,1
B518,1,1
B519,1,1
B52,1,1
B520,1,1
B521,1,1
B522,1,1
B523,1,1
B524,1,1
B525,1,1
B526,1,1
B527,1,1
B528,1,1
B529,1,1
B53,1,1
B530,1,1
B531,1,1
B532,1,1
B533,1,1
B534,1,1
B535,1,1
B536,1,1
B537,1,1
B538,1,1
B539,1,1
B54,1,1
B540,1,1
B541,1,1
B542,1,1
B543,1,1
B544,1,1
B545,1,1
B546,1,1
B547,1,1
B548,1,1
B549,1,1
B55,1,1
B550,1,1
B551,1,1
B552,1,1
B553,1,1
B554,1,1
B555,1,1
B556,1,1
B557,1,1
B558,1,1
B559,1,1
B56,1,1
B560,1,1
B561,1,1
B562,1,1
B563,1,1
B564,1,1
B565,1,1
B566,1,1
B567,1,1
B568,1,1
B569,1,1
B57,1,1
B570,1,1
B571,1,1
B572,1,1
B573,1,1
B574,1,1
B575,1,1
B576,1,1
B577,1,1
B578,1,1
B579,1,1
B58,1,1
B580,1,1
B581,1,1
B582,1,1
B583,1,1
B584,1,1
B585,1,1
B586,1,1
B587,1,1
B588,1,1
B589,1,1
B59,1,1
B590,1,1
B591,1,1
B592,1,1
B593,1,1
B594,1,1
B595,1,1
B596,1,1
B597,1,1
B598,1,1
B599,1,1
B60,1,1
B600,1,1
B601,1,1
B602,1,1
B603,1,1
B604,1,1
B605,1,1
B606,1,1
B607,1,1
B608,1,1
B609,1,1
B61,1,1
B610,1,1
B611,1,1
B62,1,1
B63,1,1
B64,1,1
B65,1,1
B66,1,1
B67,1,1
B68,1,1
B69,1,1
B70,1,1
B71,1,1
B72,1,1
B73,1,1
B74,1,1
B75,1,1
B76,1,1
B77,1,1
B78,1,1
B79,1,1
B80,1,1
B81,1,1
B82,1,1
B83,1,1
B84,1,1
B85,1,1
B86,1,1
B87,1,1
B88,1,1
B89,1,1
B90,1,1
B91,1,1
B92,1,1
B93,1,1
B94,1,1
B95,1,1
B96,1,1
B97,1,1
B98,1,1
B99,1,1
construction_1,1,1
education,1,1
electricity_gas_steam_air_conditioning_supply,1,1
financial_and_insurance,1,1
household_activities,1,1
human_health_and_social_work,1,1
information_and_telecommunications,1,1
manufacturing,1,1
mining_and_quarrying,1,1
other_service,1,1
professional_scientific_technical,1,1
public_administration_and_defense_compulsory_social_insurance,1,1
real_estate,1,1
transportation_and_storage_post_and_courier_services,1,1
water_supply_sewerage_waste_management_remediation,1,1
wholesale_retail_trade_repair_motor_vehicles_motorcycles,1,1
