Value,Disaggregation combinations using this value,Number of indicators
freedom_from_discrimination_in_the_field_of_access_to_justice,1,1
freedom_from_discrimination_in_the_field_of_advertising,1,1
freedom_from_discrimination_in_the_field_of_advertising_for_vacancies,1,1
freedom_from_discrimination_in_the_field_of_education,1,1
freedom_from_discrimination_in_the_field_of_health_care,1,1
freedom_from_discrimination_in_the_field_of_labor_employment,1,1
freedom_from_discrimination_in_the_field_of_service_provision,1,1
freedom_from_discrimination_in_the_field_of_social_protection,1,1
freedom_from_discrimination_in_the_field_of_sports,1,1
freedom_from_discrimination_in_the_media,1,1
