Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-1-2,1
#1-1-3,1
#1-2-1,1
#1-3-1-a,1
#1-3-2-a,1
#1-3-3,1
#1-3-4,1
#10-1-1,1
#10-1-1-a,1
#10-1-2-a,1
#10-2-2,1
#10-3-1,1
#11-1-1,1
#16-8-2-a,1
#2-1-1,1
#2-1-2,1
#2-1-3,1
#2-1-4,1
#3-1-1-a,1
#3-1-3,1
#3-1-4,1
#3-10-1,1
#3-2-1-a,1
#3-4-2,1
#3-5-1-a,1
#3-5-2-a,1
#3-8-1-a,1
#3-8-2-a,1
#3-9-1,1
#4-1-1,1
#4-2-1,1
#4-2-1-a,1
#4-2-2,3
#4-2-3,1
#4-3-1,3
#4-3-2,1
#4-5-1,1
#4-5-2-a,1
#4-6-2,1
#4-7-1,1
#4-7-2,1
#4-7-3-a,1
#5-3-1-a,3
#5-4-1,1
#6-1-1-a,1
#6-1-2,1
#6-1-2-a,1
#6-1-3-a,1
#6-1-4,3
#6-2-1,1
#7-6-1,1
#7-6-2,1
#7-6-3,1
#7-6-4,1
#7-7-1,1
#7-7-2,1
#8-3-1-a,1
#9-6-1-a,26
#9-6-2,1
#9-6-3,1
#9-6-4,1
