Indicator
#1-2-2
#1-3-1
#1-3-2
#10-2-1
#10-3-3
#10-5-1
#10-6-1
#10-7-1
#11-1-2
#11-1-3
#11-1-4
#11-1-5
#11-1-6
#11-2-1
#11-2-2
#11-2-3
#11-2-4
#11-2-5
#11-2-6
#11-2-7
#11-2-8
#11-2-9
#11-3-1
#11-3-2
#11-3-3
#11-3-4
#11-4-3
#11-5-3
#11-7-1
#12-5-2
#14-1-2
#15-6-1
#16-1-1
#16-10-1
#16-10-2
#16-10-3
#16-10-4
#16-13-3
#16-4-1
#16-5-3
#5-1-2
#5-1-3
#5-1-4
#5-2-1
#5-2-2
#5-2-3
#5-2-4
#5-3-2
#5-4-3
#5-4-4
#5-4-5
#5-4-6
#6-3-3
#7-3-3
#7-3-4
#7-4-2
#9-3-3
#9-3-4
#9-3-5
#9-3-6
#9-3-7
#9-3-8
#9-3-9
#9-5-1
#9-7-1
#9-7-2
