Value,Disaggregation combinations using this value,Number of indicators
12_ext_coal_1,1,1
13_ext_oil_1,1,1
14_ext_ores_1,1,1
15_ext_miner_1,1,1
16_serv_1,1,1
17_proc_ind_1,1,1
18_man_food_1,1,1
19_man_bev_1,1,1
20_man_tobac_1,1,1
21_man_text_1,1,1
22_man_cloth_1,1,1
23_man_leather_1,1,1
24_man_wood_1,1,1
25_man_paper_1,1,1
26_print_1,1,1
27_man_coke_1,1,1
28_man_chemic_1,1,1
29_man_pharmac_1,1,1
30_man_rubber_1,1,1
31_man_non_met_1,1,1
32_man_met_1,1,1
33_man_equip_1,1,1
34_man_pc_1,1,1
35_man_el_equip_1,1,1
36_not_class_1,1,1
37_man_motor_1,1,1
38_man_oth_veh_1,1,1
39_man_furn_1,1,1
3_mining_1,2,2
40_man_oth_prod_1,1,1
41_repair_1,1,1
42_suppl_elec_1,1,1
42_suppl_elec_2,1,1
43_suppl_wat_1,1,1
44_collec_wat_1,1,1
45_waste_wat_1,1,1
46_restor_1,1,1
47_waste_act_1,1,1
48_products_1,1,1
49_leather_1,1,1
4_proc_ind_1,1,1
50_wood_1,1,1
51_chemicals_1,1,1
52_rubber_1,1,1
53_metallurgy_1,1,1
54_computers_1,1,1
55_transport_equipment_1,1,1
56_furniture_1,1,1
57_energy_1,1,1
58_water_supply_1,1,1
59_water_collection_1,1,1
60_waste_management_1,1,1
61_trade_transport_info_1,1,1
62_wholesale_trade_1,1,1
63_transport_storage_1,1,1
64_transport_types_1,1,1
65_transport_support_1,1,1
66_information_1,1,1
67_media_1,1,1
68_telecom_it_1,1,1
69_finance_1,1,1
70_architecture_engineering_1,1,1
71_architecture_testing_1,1,1
72_research_1,1,1
73_advertising_1,1,1
s_11_indu_1,1,1
