Year,by type of educational institution,Region,Value
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2015,General secondary educational institutions with Internet access (without specifying the speed),Kyiv,100.0
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2015,General secondary educational institutions with Internet access (without specifying the speed),Kirovohrad,96.53
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2015,General secondary educational institutions with Internet access (without specifying the speed),Luhansk,94.39
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2015,General secondary educational institutions with Internet access (without specifying the speed),Lviv,60.41
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2015,General secondary educational institutions with Internet access (without specifying the speed),Mykolayiv,94.76
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2015,General secondary educational institutions with Internet access (without specifying the speed),Odesa,80.38
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2015,General secondary educational institutions with Internet access (without specifying the speed),Poltava,86.61
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
