Year,by type of educational institution,Region,Value
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2017,General secondary educational institutions with Internet access (without specifying the speed),Donetsk,96.98
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2017,General secondary educational institutions with Internet access (without specifying the speed),Zhytomyr,73.59
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2017,General secondary educational institutions with Internet access (without specifying the speed),Zakarpattya,81.74
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2017,General secondary educational institutions with Internet access (without specifying the speed),Zaporizhzhya,98.9
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2017,General secondary educational institutions with Internet access (without specifying the speed),Ivano-Frankivsk,89.24
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2017,General secondary educational institutions with Internet access (without specifying the speed),Kyiv,99.57
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2017,General secondary educational institutions with Internet access (without specifying the speed),Kirovohrad,100.0
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2017,General secondary educational institutions with Internet access (without specifying the speed),Luhansk,96.53
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2017,General secondary educational institutions with Internet access (without specifying the speed),Lviv,87.09
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2017,General secondary educational institutions with Internet access (without specifying the speed),Mykolayiv,96.84
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2017,General secondary educational institutions with Internet access (without specifying the speed),Odesa,88.92
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2017,General secondary educational institutions with Internet access (without specifying the speed),Poltava,95.18
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2017,General secondary educational institutions with Internet access (without specifying the speed),Rivne,95.51
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2017,General secondary educational institutions with Internet access (without specifying the speed),Sumy,94.52
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2017,General secondary educational institutions with Internet access (without specifying the speed),Ternopil,82.36
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2017,General secondary educational institutions with Internet access (without specifying the speed),Kharkiv,100.0
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2017,General secondary educational institutions with Internet access (without specifying the speed),Kherson,100.0
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2017,General secondary educational institutions with Internet access (without specifying the speed),Khmelnytskiy,93.29
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2017,General secondary educational institutions with Internet access (without specifying the speed),Cherkasy,98.82
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2017,General secondary educational institutions with Internet access (without specifying the speed),Chernivtsi,99.52
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2017,General secondary educational institutions with Internet access (without specifying the speed),Chernihiv,95.01
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,
2017,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
2017,General secondary educational institutions with Internet access (without specifying the speed),the city of Kyiv,98.49
2017,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,
2017,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
2017,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,city Sevastopol,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2018,General secondary educational institutions with Internet access (without specifying the speed),Ukraine,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,31.29
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,14.43
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2018,,Autonomous Republic of Crimea,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2018,General secondary educational institutions with Internet access (without specifying the speed),Vinnytsya,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,14.67
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,6.82
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2018,General secondary educational institutions with Internet access (without specifying the speed),Volyn,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,21.75
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,8.77
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2018,General secondary educational institutions with Internet access (without specifying the speed),Dnipropetrovsk,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,48.62
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,24.88
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2018,General secondary educational institutions with Internet access (without specifying the speed),Donetsk,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,42.29
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,19.17
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2018,General secondary educational institutions with Internet access (without specifying the speed),Zhytomyr,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,18.83
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,8.02
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2018,General secondary educational institutions with Internet access (without specifying the speed),Zakarpattya,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,22.63
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,10.4
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2018,General secondary educational institutions with Internet access (without specifying the speed),Zaporizhzhya,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,41.15
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,22.53
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2018,General secondary educational institutions with Internet access (without specifying the speed),Ivano-Frankivsk,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,31.15
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,10.63
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2018,General secondary educational institutions with Internet access (without specifying the speed),Kyiv,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,47.17
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,22.06
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2018,General secondary educational institutions with Internet access (without specifying the speed),Kirovohrad,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,23.96
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,14.7
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2018,General secondary educational institutions with Internet access (without specifying the speed),Luhansk,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,25.82
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,12.0
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2018,General secondary educational institutions with Internet access (without specifying the speed),Lviv,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,21.92
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,9.78
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2018,General secondary educational institutions with Internet access (without specifying the speed),Mykolayiv,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,27.39
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,15.77
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2018,General secondary educational institutions with Internet access (without specifying the speed),Odesa,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,39.9
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,13.9
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2018,General secondary educational institutions with Internet access (without specifying the speed),Poltava,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,25.33
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,13.17
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2018,General secondary educational institutions with Internet access (without specifying the speed),Rivne,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,23.86
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,10.66
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2018,General secondary educational institutions with Internet access (without specifying the speed),Sumy,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,32.0
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,18.12
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2018,General secondary educational institutions with Internet access (without specifying the speed),Ternopil,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,27.86
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,11.56
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2018,General secondary educational institutions with Internet access (without specifying the speed),Kharkiv,
2018,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,41.46
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,18.18
2018,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2018,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2018,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
