Year,Type of residence,Value
2015,,0.38943
2016,,0.38364
2017,,0.37535
2018,,0.38675
2019,,0.38088
2020,,0.39129
2021,,0.41511
2022,,
2023,,
2015,urban_a,0.3664
2016,urban_a,0.363
2017,urban_a,0.35352
2018,urban_a,0.36695
2019,urban_a,0.36066
2020,urban_a,0.37532
2021,urban_a,0.40832
2022,urban_a,
2023,urban_a,
2015,rural_a,0.43103
2016,rural_a,0.42088
2017,rural_a,0.41449
2018,rural_a,0.4223
2019,rural_a,0.41688
2020,rural_a,0.42021
2021,rural_a,0.42796
2022,rural_a,
2023,rural_a,
