Year,EducationInternetType,Region,Value
2016,preschool_wired_gt30,20_reg_Kirovohrad,
2016,preschool_wired_gt30,21_reg_Luhansk,
2016,preschool_wired_gt30,22_reg_Lviv,
2016,preschool_wired_gt30,23_reg_Mykolayiv,
2016,preschool_wired_gt30,24_reg_Odesa,
2016,preschool_wired_gt30,25_reg_Poltava,
2016,preschool_wired_gt30,26_reg_Rivne,
2016,preschool_wired_gt30,27_reg_Sumy,
2016,preschool_wired_gt30,28_reg_Ternopil,
2016,preschool_wired_gt30,29_reg_Kharkiv,
2016,preschool_wired_gt30,30_reg_Kherson,
2016,preschool_wired_gt30,31_reg_Khmelnytskiy,
2016,preschool_wired_gt30,32_reg_Cherkasy,
2016,preschool_wired_gt30,33_reg_Chernivtsi,
2016,preschool_wired_gt30,34_reg_Chernihiv,
2016,preschool_wired_gt30,Kyiv_city,
2016,preschool_wired_gt30,city_Sevastopol,
2017,preschool_wired_gt30,Ukraine,
2017,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2017,preschool_wired_gt30,11_reg_Vinnytsya,
2017,preschool_wired_gt30,12_reg_Volyn,
2017,preschool_wired_gt30,13_reg_Dnipropetrovsk,
2017,preschool_wired_gt30,14_reg_Donetsk,
2017,preschool_wired_gt30,15_reg_Zhytomyr,
2017,preschool_wired_gt30,16_reg_Zakarpattya,
2017,preschool_wired_gt30,17_reg_Zaporizhzhya,
2017,preschool_wired_gt30,18_reg_Ivano-Frankivsk,
2017,preschool_wired_gt30,19_reg_Kyiv,
2017,preschool_wired_gt30,20_reg_Kirovohrad,
2017,preschool_wired_gt30,21_reg_Luhansk,
2017,preschool_wired_gt30,22_reg_Lviv,
2017,preschool_wired_gt30,23_reg_Mykolayiv,
2017,preschool_wired_gt30,24_reg_Odesa,
2017,preschool_wired_gt30,25_reg_Poltava,
2017,preschool_wired_gt30,26_reg_Rivne,
2017,preschool_wired_gt30,27_reg_Sumy,
2017,preschool_wired_gt30,28_reg_Ternopil,
2017,preschool_wired_gt30,29_reg_Kharkiv,
2017,preschool_wired_gt30,30_reg_Kherson,
2017,preschool_wired_gt30,31_reg_Khmelnytskiy,
2017,preschool_wired_gt30,32_reg_Cherkasy,
2017,preschool_wired_gt30,33_reg_Chernivtsi,
2017,preschool_wired_gt30,34_reg_Chernihiv,
2017,preschool_wired_gt30,Kyiv_city,
2017,preschool_wired_gt30,city_Sevastopol,
2018,preschool_wired_gt30,Ukraine,
2018,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2018,preschool_wired_gt30,11_reg_Vinnytsya,
2018,preschool_wired_gt30,12_reg_Volyn,
2018,preschool_wired_gt30,13_reg_Dnipropetrovsk,
2018,preschool_wired_gt30,14_reg_Donetsk,
2018,preschool_wired_gt30,15_reg_Zhytomyr,
2018,preschool_wired_gt30,16_reg_Zakarpattya,
2018,preschool_wired_gt30,17_reg_Zaporizhzhya,
2018,preschool_wired_gt30,18_reg_Ivano-Frankivsk,
2018,preschool_wired_gt30,19_reg_Kyiv,
2018,preschool_wired_gt30,20_reg_Kirovohrad,
2018,preschool_wired_gt30,21_reg_Luhansk,
2018,preschool_wired_gt30,22_reg_Lviv,
2018,preschool_wired_gt30,23_reg_Mykolayiv,
2018,preschool_wired_gt30,24_reg_Odesa,
2018,preschool_wired_gt30,25_reg_Poltava,
2018,preschool_wired_gt30,26_reg_Rivne,
2018,preschool_wired_gt30,27_reg_Sumy,
2018,preschool_wired_gt30,28_reg_Ternopil,
2018,preschool_wired_gt30,29_reg_Kharkiv,
2018,preschool_wired_gt30,30_reg_Kherson,
2018,preschool_wired_gt30,31_reg_Khmelnytskiy,
2018,preschool_wired_gt30,32_reg_Cherkasy,
2018,preschool_wired_gt30,33_reg_Chernivtsi,
2018,preschool_wired_gt30,34_reg_Chernihiv,
2018,preschool_wired_gt30,Kyiv_city,
2018,preschool_wired_gt30,city_Sevastopol,
2019,preschool_wired_gt30,Ukraine,
2019,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2019,preschool_wired_gt30,11_reg_Vinnytsya,
2019,preschool_wired_gt30,12_reg_Volyn,
2019,preschool_wired_gt30,13_reg_Dnipropetrovsk,
2019,preschool_wired_gt30,14_reg_Donetsk,
2019,preschool_wired_gt30,15_reg_Zhytomyr,
2019,preschool_wired_gt30,16_reg_Zakarpattya,
2019,preschool_wired_gt30,17_reg_Zaporizhzhya,
2019,preschool_wired_gt30,18_reg_Ivano-Frankivsk,
2019,preschool_wired_gt30,19_reg_Kyiv,
2019,preschool_wired_gt30,20_reg_Kirovohrad,
2019,preschool_wired_gt30,21_reg_Luhansk,
2019,preschool_wired_gt30,22_reg_Lviv,
2019,preschool_wired_gt30,23_reg_Mykolayiv,
2019,preschool_wired_gt30,24_reg_Odesa,
2019,preschool_wired_gt30,25_reg_Poltava,
2019,preschool_wired_gt30,26_reg_Rivne,
2019,preschool_wired_gt30,27_reg_Sumy,
2019,preschool_wired_gt30,28_reg_Ternopil,
2019,preschool_wired_gt30,29_reg_Kharkiv,
2019,preschool_wired_gt30,30_reg_Kherson,
2019,preschool_wired_gt30,31_reg_Khmelnytskiy,
2019,preschool_wired_gt30,32_reg_Cherkasy,
2019,preschool_wired_gt30,33_reg_Chernivtsi,
2019,preschool_wired_gt30,34_reg_Chernihiv,
2019,preschool_wired_gt30,Kyiv_city,
2019,preschool_wired_gt30,city_Sevastopol,
2020,preschool_wired_gt30,Ukraine,
2020,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2020,preschool_wired_gt30,11_reg_Vinnytsya,
2020,preschool_wired_gt30,12_reg_Volyn,
2020,preschool_wired_gt30,13_reg_Dnipropetrovsk,
2020,preschool_wired_gt30,14_reg_Donetsk,
2020,preschool_wired_gt30,15_reg_Zhytomyr,
2020,preschool_wired_gt30,16_reg_Zakarpattya,
2020,preschool_wired_gt30,17_reg_Zaporizhzhya,
2020,preschool_wired_gt30,18_reg_Ivano-Frankivsk,
2020,preschool_wired_gt30,19_reg_Kyiv,
2020,preschool_wired_gt30,20_reg_Kirovohrad,
2020,preschool_wired_gt30,21_reg_Luhansk,
2020,preschool_wired_gt30,22_reg_Lviv,
2020,preschool_wired_gt30,23_reg_Mykolayiv,
2020,preschool_wired_gt30,24_reg_Odesa,
2020,preschool_wired_gt30,25_reg_Poltava,
2020,preschool_wired_gt30,26_reg_Rivne,
