Year,Component,Region,Age,Gender,Value
2021,com_2_tolerance,13_reg_Dnipropetrovsk,,males_a,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,,males_a,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,,males_a,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,,females_a,
2017,com_2_tolerance,17_reg_Zaporizhzhya,,,
2018,com_2_tolerance,17_reg_Zaporizhzhya,,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,4.9
2018,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60_a,,4.8
2018,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60_a,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60_a,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60_a,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,age_36_59_a,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,age_36_59_a,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,age_36_59_a,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,4.8
2018,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,age_60_a,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,age_60_a,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,age_60_a,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,4.7
2018,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,
2019,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,
2020,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,
2021,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,
2022,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,
2023,com_2_tolerance,17_reg_Zaporizhzhya,,males_a,
2017,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,5.0
2018,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,
2019,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,
2020,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,
2021,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,
2022,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,
2023,com_2_tolerance,17_reg_Zaporizhzhya,,females_a,
2017,com_2_tolerance,29_reg_Kharkiv,,,
2018,com_2_tolerance,29_reg_Kharkiv,,,
