Year,group_27,Value
2015,group_label_267,
2016,group_label_267,
2017,group_label_267,
2018,group_label_267,
2019,group_label_267,
2020,group_label_267,27.0
2021,group_label_267,26.0
2022,group_label_267,17.7
2023,group_label_267,19.5
2024,group_label_267,18.7
2015,group_label_268,
2016,group_label_268,
2017,group_label_268,
2018,group_label_268,
2019,group_label_268,
2020,group_label_268,
2021,group_label_268,21.6
2022,group_label_268,15.4
2023,group_label_268,22.2
2024,group_label_268,23.2
