Year,за формою дискримінації,за сферами суспільних відносин,Стать,Місцевість проживання,Value
2018,,свобода від дискримінації у сфері освіти,,,
2019,,свобода від дискримінації у сфері освіти,,,
2020,,свобода від дискримінації у сфері освіти,,,
2021,,свобода від дискримінації у сфері освіти,,,
2022,,свобода від дискримінації у сфері освіти,,,
2023,,свобода від дискримінації у сфері освіти,,,9.0
2024,,свобода від дискримінації у сфері освіти,,,92.0
2015,,свобода від дискримінації у сфері надання послуг,,,
2016,,свобода від дискримінації у сфері надання послуг,,,
2017,,свобода від дискримінації у сфері надання послуг,,,
2018,,свобода від дискримінації у сфері надання послуг,,,
2019,,свобода від дискримінації у сфері надання послуг,,,
2020,,свобода від дискримінації у сфері надання послуг,,,
2021,,свобода від дискримінації у сфері надання послуг,,,
2022,,свобода від дискримінації у сфері надання послуг,,,
2023,,свобода від дискримінації у сфері надання послуг,,,
2024,,свобода від дискримінації у сфері надання послуг,,,26.0
2015,,свобода від дискримінації у сфері доступу до правосуддя,,,
2016,,свобода від дискримінації у сфері доступу до правосуддя,,,
2017,,свобода від дискримінації у сфері доступу до правосуддя,,,
2018,,свобода від дискримінації у сфері доступу до правосуддя,,,
2019,,свобода від дискримінації у сфері доступу до правосуддя,,,
2020,,свобода від дискримінації у сфері доступу до правосуддя,,,
2021,,свобода від дискримінації у сфері доступу до правосуддя,,,
2022,,свобода від дискримінації у сфері доступу до правосуддя,,,
2023,,свобода від дискримінації у сфері доступу до правосуддя,,,10.0
2024,,свобода від дискримінації у сфері доступу до правосуддя,,,24.0
2015,,свобода від дискримінації у сфері охорони здоров’я,,,
2016,,свобода від дискримінації у сфері охорони здоров’я,,,
2017,,свобода від дискримінації у сфері охорони здоров’я,,,
2018,,свобода від дискримінації у сфері охорони здоров’я,,,
2019,,свобода від дискримінації у сфері охорони здоров’я,,,
2020,,свобода від дискримінації у сфері охорони здоров’я,,,
2021,,свобода від дискримінації у сфері охорони здоров’я,,,
2022,,свобода від дискримінації у сфері охорони здоров’я,,,
2023,,свобода від дискримінації у сфері охорони здоров’я,,,5.0
2024,,свобода від дискримінації у сфері охорони здоров’я,,,12.0
2015,,"свобода від дискримінації у сфері праці, зайнятості",,,
2016,,"свобода від дискримінації у сфері праці, зайнятості",,,
2017,,"свобода від дискримінації у сфері праці, зайнятості",,,
2018,,"свобода від дискримінації у сфері праці, зайнятості",,,
2019,,"свобода від дискримінації у сфері праці, зайнятості",,,11.0
2020,,"свобода від дискримінації у сфері праці, зайнятості",,,42.0
2021,,"свобода від дискримінації у сфері праці, зайнятості",,,69.0
2022,,"свобода від дискримінації у сфері праці, зайнятості",,,34.0
2023,,"свобода від дискримінації у сфері праці, зайнятості",,,
2024,,"свобода від дискримінації у сфері праці, зайнятості",,,39.0
2015,,свобода від дискримінації у сфері спорту,,,
2016,,свобода від дискримінації у сфері спорту,,,
2017,,свобода від дискримінації у сфері спорту,,,
2018,,свобода від дискримінації у сфері спорту,,,
2019,,свобода від дискримінації у сфері спорту,,,
2020,,свобода від дискримінації у сфері спорту,,,
2021,,свобода від дискримінації у сфері спорту,,,
2022,,свобода від дискримінації у сфері спорту,,,
2023,,свобода від дискримінації у сфері спорту,,,
2024,,свобода від дискримінації у сфері спорту,,,1.0
2015,,свобода від дискримінації у медіа,,,
2016,,свобода від дискримінації у медіа,,,
2017,,свобода від дискримінації у медіа,,,
2018,,свобода від дискримінації у медіа,,,
2019,,свобода від дискримінації у медіа,,,
2020,,свобода від дискримінації у медіа,,,
2021,,свобода від дискримінації у медіа,,,
2022,,свобода від дискримінації у медіа,,,
2023,,свобода від дискримінації у медіа,,,
2024,,свобода від дискримінації у медіа,,,3.0
