Year,Types of economic activity,Value
2015,,99.2
2016,,103.5
2017,,103.1
2018,,102.2
2019,,101.8
2020,,100.3
2021,,105.5
2022,,
2023,,
2024,,
2015,"Agriculture, forestry and fishing",103.0
2016,"Agriculture, forestry and fishing",106.5
2017,"Agriculture, forestry and fishing",97.7
2018,"Agriculture, forestry and fishing",105.3
2019,"Agriculture, forestry and fishing",98.6
2020,"Agriculture, forestry and fishing",98.8
2021,"Agriculture, forestry and fishing",116.3
2022,"Agriculture, forestry and fishing",
2023,"Agriculture, forestry and fishing",
2024,"Agriculture, forestry and fishing",
2015,Industry,96.2
2016,Industry,104.6
2017,Industry,100.7
2018,Industry,102.8
2019,Industry,97.9
2020,Industry,100.0
2021,Industry,103.4
2022,Industry,
2023,Industry,
2024,Industry,
2015,Construction,94.9
2016,Construction,114.6
2017,Construction,125.7
2018,Construction,105.0
2019,Construction,117.9
2020,Construction,110.4
2021,Construction,102.7
2022,Construction,
2023,Construction,
2024,Construction,
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,95.4
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,104.1
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,102.1
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,101.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,99.5
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,109.5
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,101.1
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2024,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2015,Transportation and storage; postal and courier services,108.8
2016,Transportation and storage; postal and courier services,103.2
2017,Transportation and storage; postal and courier services,104.6
2018,Transportation and storage; postal and courier services,100.9
2019,Transportation and storage; postal and courier services,103.5
2020,Transportation and storage; postal and courier services,86.0
2021,Transportation and storage; postal and courier services,103.2
2022,Transportation and storage; postal and courier services,
2023,Transportation and storage; postal and courier services,
2024,Transportation and storage; postal and courier services,
2015,Accommodation and food service activities,113.9
2016,Accommodation and food service activities,105.8
2017,Accommodation and food service activities,104.4
2018,Accommodation and food service activities,104.6
2019,Accommodation and food service activities,102.1
2020,Accommodation and food service activities,85.6
2021,Accommodation and food service activities,146.2
2022,Accommodation and food service activities,
2023,Accommodation and food service activities,
2024,Accommodation and food service activities,
2015,Information and telecommunications,104.0
2016,Information and telecommunications,105.6
2017,Information and telecommunications,108.8
2018,Information and telecommunications,104.0
2019,Information and telecommunications,103.5
2020,Information and telecommunications,104.8
2021,Information and telecommunications,113.0
2022,Information and telecommunications,
2023,Information and telecommunications,
2024,Information and telecommunications,
2015,Financial and insurance activities,92.9
2016,Financial and insurance activities,97.8
2017,Financial and insurance activities,126.9
2018,Financial and insurance activities,109.6
2019,Financial and insurance activities,106.7
2020,Financial and insurance activities,101.7
2021,Financial and insurance activities,112.9
2022,Financial and insurance activities,
2023,Financial and insurance activities,
2024,Financial and insurance activities,
2015,Real estate activities,110.3
2016,Real estate activities,107.3
2017,Real estate activities,103.2
2018,Real estate activities,105.8
2019,Real estate activities,106.8
2020,Real estate activities,104.9
2021,Real estate activities,101.4
2022,Real estate activities,
2023,Real estate activities,
2024,Real estate activities,
2015,"Professional, scientific and technical activities",94.0
2016,"Professional, scientific and technical activities",103.7
2017,"Professional, scientific and technical activities",108.9
2018,"Professional, scientific and technical activities",100.6
2019,"Professional, scientific and technical activities",107.5
2020,"Professional, scientific and technical activities",88.2
2021,"Professional, scientific and technical activities",104.0
2022,"Professional, scientific and technical activities",
2023,"Professional, scientific and technical activities",
2024,"Professional, scientific and technical activities",
2015,Administrative and support service activities,109.1
2016,Administrative and support service activities,106.6
2017,Administrative and support service activities,102.8
2018,Administrative and support service activities,102.1
2019,Administrative and support service activities,102.1
2020,Administrative and support service activities,91.6
2021,Administrative and support service activities,98.9
2022,Administrative and support service activities,
2023,Administrative and support service activities,
2024,Administrative and support service activities,
2015,Public administration and defence; compulsory social security,101.0
2016,Public administration and defence; compulsory social security,101.1
2017,Public administration and defence; compulsory social security,93.8
2018,Public administration and defence; compulsory social security,103.6
2019,Public administration and defence; compulsory social security,117.4
2020,Public administration and defence; compulsory social security,97.9
2021,Public administration and defence; compulsory social security,100.6
2022,Public administration and defence; compulsory social security,
2023,Public administration and defence; compulsory social security,
2024,Public administration and defence; compulsory social security,
2015,Education,102.8
2016,Education,99.2
2017,Education,102.4
2018,Education,100.4
2019,Education,103.4
2020,Education,94.9
2021,Education,112.8
2022,Education,
2023,Education,
2024,Education,
2015,Human health and social work activities,109.8
2016,Human health and social work activities,97.9
2017,Human health and social work activities,101.5
2018,Human health and social work activities,97.7
2019,Human health and social work activities,106.9
2020,Human health and social work activities,106.7
2021,Human health and social work activities,106.5
2022,Human health and social work activities,
2023,Human health and social work activities,
2024,Human health and social work activities,
2015,"Arts, sports, entertainment and recreation",92.6
2016,"Arts, sports, entertainment and recreation",101.4
2017,"Arts, sports, entertainment and recreation",101.6
2018,"Arts, sports, entertainment and recreation",103.5
2019,"Arts, sports, entertainment and recreation",104.2
2020,"Arts, sports, entertainment and recreation",91.2
2021,"Arts, sports, entertainment and recreation",118.4
2022,"Arts, sports, entertainment and recreation",
2023,"Arts, sports, entertainment and recreation",
2024,"Arts, sports, entertainment and recreation",
2015,Other economic activities,110.3
2016,Other economic activities,102.9
2017,Other economic activities,106.0
2018,Other economic activities,103.1
2019,Other economic activities,108.6
2020,Other economic activities,82.2
2021,Other economic activities,107.3
2022,Other economic activities,
2023,Other economic activities,
2024,Other economic activities,
