Year,by level of councils,Region,Sex,Value
2017,,Ternopil,women,46.19
2017,,Ternopil,men,53.81
2017,,Kharkiv,women,50.79
2017,,Kharkiv,men,49.21
2017,,Kherson,women,54.45
2017,,Kherson,men,45.55
2017,,Khmelnytskiy,women,48.57
2017,,Khmelnytskiy,men,51.43
2017,,Cherkasy,women,52.81
2017,,Cherkasy,men,47.19
2017,,Chernivtsi,women,36.72
2017,,Chernivtsi,men,63.28
2017,,Chernihiv,women,53.44
2017,,Chernihiv,men,46.56
2017,,the city of Kyiv,women,18.33
2017,,the city of Kyiv,men,81.67
2017,,city Sevastopol,women,
2017,,city Sevastopol,men,
2018,regional councils,,women,15.29
2018,regional councils,,men,84.71
2018,district councils,,women,24.39
2018,district councils,,men,75.61
2018,city councils (including Kyiv City council),,women,28.71
2018,city councils (including Kyiv City council),,men,71.29
2018,district councils in cities,,women,33.79
2018,district councils in cities,,men,66.21
2018,settlement councils,,women,44.02
2018,settlement councils,,men,55.98
2018,village councils,,women,54.22
2018,village councils,,men,45.78
2018,,Ukraine,men,52.81
2018,,Ukraine,women,47.19
2018,,Autonomous Republic of Crimea,men,
2018,,Autonomous Republic of Crimea,women,
2018,,Vinnytsya,men,51.31
2018,,Vinnytsya,women,48.69
2018,,Volyn,men,51.69
2018,,Volyn,women,48.31
2018,,Dnipropetrovsk,men,55.41
2018,,Dnipropetrovsk,women,44.59
2018,,Donetsk,men,46.56
2018,,Donetsk,women,53.44
2018,,Zhytomyr,men,51.01
2018,,Zhytomyr,women,48.99
2018,,Zakarpattya,men,64.42
2018,,Zakarpattya,women,35.58
2018,,Zaporizhzhya,men,52.41
2018,,Zaporizhzhya,women,47.59
2018,,Ivano-Frankivsk,men,62.52
2018,,Ivano-Frankivsk,women,37.48
2018,,Kyiv,men,2.77
2018,,Kyiv,women,47.23
2018,,Kirovohrad,men,47.54
2018,,Kirovohrad,women,52.46
2018,,Luhansk,men,44.06
2018,,Luhansk,women,55.94
2018,,Lviv,men,62.95
2018,,Lviv,women,37.05
2018,,Mykolayiv,men,43.64
2018,,Mykolayiv,women,56.36
2018,,Odesa,men,53.52
2018,,Odesa,women,46.48
2018,,Poltava,men,52.99
2018,,Poltava,women,47.08
2018,,Rivne,men,52.62
2018,,Rivne,women,47.38
2018,,Sumy,men,46.6
2018,,Sumy,women,53.4
2018,,Ternopil,men,53.86
2018,,Ternopil,women,46.14
2018,,Kharkiv,men,49.13
2018,,Kharkiv,women,50.87
2018,,Kherson,men,45.71
2018,,Kherson,women,54.29
2018,,Khmelnytskiy,men,52.0
2018,,Khmelnytskiy,women,48.0
2018,,Cherkasy,men,48.26
2018,,Cherkasy,women,51.74
2018,,Chernivtsi,men,63.26
2018,,Chernivtsi,women,36.74
2018,,Chernihiv,men,46.55
2018,,Chernihiv,women,53.45
2018,,the city of Kyiv,men,81.67
2018,,the city of Kyiv,women,18.33
2018,,city Sevastopol,men,
2018,,city Sevastopol,women,
2019,regional councils,,women,15.5
2019,regional councils,,men,84.5
2019,district councils,,women,24.45
2019,district councils,,men,75.55
2019,city councils (including Kyiv City council),,women,28.83
2019,city councils (including Kyiv City council),,men,71.17
2019,district councils in cities,,women,33.88
2019,district councils in cities,,men,66.12
2019,settlement councils,,women,43.88
2019,settlement councils,,men,56.12
2019,village councils,,women,53.71
2019,village councils,,men,46.29
2019,,Ukraine,men,53.44
