Year,Sex,Type of residence,Type of educational institution,Socioeconomic status,Academic subjects,Value
2015,girls,,,,,
2016,girls,,,,,
2017,girls,,,,,
2018,girls,,,,,
2019,girls,,,,,
2020,girls,,,,,
2021,girls,,,,,
2022,girls,,,,,
2023,girls,,,,,19.02
2024,girls,,,,,22.76
2015,boys,,,,,
2016,boys,,,,,
2017,boys,,,,,
2018,boys,,,,,
2019,boys,,,,,
2020,boys,,,,,
2021,boys,,,,,
2022,boys,,,,,
2023,boys,,,,,16.17
2024,boys,,,,,18.49
2015,,urban,,,,
2016,,urban,,,,
2017,,urban,,,,
2018,,urban,,,,
2019,,urban,,,,
2020,,urban,,,,
2021,,urban,,,,
2022,,urban,,,,
2023,,urban,,,,28.35
2024,,urban,,,,31.7
2015,,rural,,,,
2016,,rural,,,,
2017,,rural,,,,
2018,,rural,,,,
2019,,rural,,,,
2020,,rural,,,,
2021,,rural,,,,
2022,,rural,,,,
2023,,rural,,,,6.84
2024,,rural,,,,10.15
2015,,,lyceum,,,
2016,,,lyceum,,,
2017,,,lyceum,,,
2018,,,lyceum,,,
2019,,,lyceum,,,
2020,,,lyceum,,,
2021,,,lyceum,,,
2022,,,lyceum,,,
2023,,,lyceum,,,18.46
2024,,,lyceum,,,20.75
2015,,,gymnasium,,,
2016,,,gymnasium,,,
2017,,,gymnasium,,,
2018,,,gymnasium,,,
2019,,,gymnasium,,,
2020,,,gymnasium,,,
2021,,,gymnasium,,,
2022,,,gymnasium,,,
2023,,,gymnasium,,,4.75
2024,,,gymnasium,,,9.94
2015,,,general secondary educational institutions (GSEI),,,
2016,,,general secondary educational institutions (GSEI),,,
2017,,,general secondary educational institutions (GSEI),,,
2018,,,general secondary educational institutions (GSEI),,,
2019,,,general secondary educational institutions (GSEI),,,
2020,,,general secondary educational institutions (GSEI),,,
2021,,,general secondary educational institutions (GSEI),,,
2022,,,general secondary educational institutions (GSEI),,,
2023,,,general secondary educational institutions (GSEI),,,4.56
2024,,,general secondary educational institutions (GSEI),,,4.95
2015,,,others,,,
2016,,,others,,,
2017,,,others,,,
2018,,,others,,,
2019,,,others,,,
2020,,,others,,,
2021,,,others,,,
2022,,,others,,,
2023,,,others,,,7.42
2024,,,others,,,6.21
2015,,,,participants who have printed books and other materials needed for learning,,
2016,,,,participants who have printed books and other materials needed for learning,,
2017,,,,participants who have printed books and other materials needed for learning,,
2018,,,,participants who have printed books and other materials needed for learning,,
2019,,,,participants who have printed books and other materials needed for learning,,
2020,,,,participants who have printed books and other materials needed for learning,,
2021,,,,participants who have printed books and other materials needed for learning,,
2022,,,,participants who have printed books and other materials needed for learning,,
2023,,,,participants who have printed books and other materials needed for learning,,12.4
2024,,,,participants who have printed books and other materials needed for learning,,15.87
2015,,,,having your own space (room or workspace),,
2016,,,,having your own space (room or workspace),,
2017,,,,having your own space (room or workspace),,
2018,,,,having your own space (room or workspace),,
2019,,,,having your own space (room or workspace),,
2020,,,,having your own space (room or workspace),,
2021,,,,having your own space (room or workspace),,
2022,,,,having your own space (room or workspace),,
2023,,,,having your own space (room or workspace),,15.18
2024,,,,having your own space (room or workspace),,19.39
2015,,,,,mathematics 6th grade,
2016,,,,,mathematics 6th grade,
2017,,,,,mathematics 6th grade,
2018,,,,,mathematics 6th grade,
2019,,,,,mathematics 6th grade,
2020,,,,,mathematics 6th grade,
2021,,,,,mathematics 6th grade,
2022,,,,,mathematics 6th grade,
2023,,,,,mathematics 6th grade,28.0
2024,,,,,mathematics 6th grade,34.98
2015,,,,,mathematics 8th grade,
2016,,,,,mathematics 8th grade,
2017,,,,,mathematics 8th grade,
2018,,,,,mathematics 8th grade,
2019,,,,,mathematics 8th grade,
2020,,,,,mathematics 8th grade,
2021,,,,,mathematics 8th grade,
2022,,,,,mathematics 8th grade,
2023,,,,,mathematics 8th grade,45.0
2024,,,,,mathematics 8th grade,41.55
2015,,,,,Ukrainian language 6th grade,
2016,,,,,Ukrainian language 6th grade,
2017,,,,,Ukrainian language 6th grade,
2018,,,,,Ukrainian language 6th grade,
2019,,,,,Ukrainian language 6th grade,
2020,,,,,Ukrainian language 6th grade,
2021,,,,,Ukrainian language 6th grade,
2022,,,,,Ukrainian language 6th grade,
2023,,,,,Ukrainian language 6th grade,34.0
2024,,,,,Ukrainian language 6th grade,40.9
2015,,,,,Ukrainian language 8th grade,
2016,,,,,Ukrainian language 8th grade,
2017,,,,,Ukrainian language 8th grade,
2018,,,,,Ukrainian language 8th grade,
2019,,,,,Ukrainian language 8th grade,
2020,,,,,Ukrainian language 8th grade,
2021,,,,,Ukrainian language 8th grade,
2022,,,,,Ukrainian language 8th grade,
2023,,,,,Ukrainian language 8th grade,37.0
2024,,,,,Ukrainian language 8th grade,50.66
