Year,Еconomic activity,Value
2015,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2016,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2017,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2018,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",0.9
2019,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2020,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2021,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2022,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",0.9
2023,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",
2024,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations",10.4
2015,Manufacture of rubber and plastic products and other non-metallic mineral products,
2016,Manufacture of rubber and plastic products and other non-metallic mineral products,
2017,Manufacture of rubber and plastic products and other non-metallic mineral products,
2018,Manufacture of rubber and plastic products and other non-metallic mineral products,1.5
2019,Manufacture of rubber and plastic products and other non-metallic mineral products,
2020,Manufacture of rubber and plastic products and other non-metallic mineral products,1.1
2021,Manufacture of rubber and plastic products and other non-metallic mineral products,
2022,Manufacture of rubber and plastic products and other non-metallic mineral products,0.8
2023,Manufacture of rubber and plastic products and other non-metallic mineral products,
2024,Manufacture of rubber and plastic products and other non-metallic mineral products,0.5
2015,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",
2016,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",
2017,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",
2018,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",0.7
2019,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",
2020,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",3.5
2021,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",
2022,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",1.6
2023,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",
2024,"Metallurgical production and manufacture of fabricated metal products, except machinery and equipment",6.7
2015,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",
2016,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",
2017,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",
2018,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",3.6
2019,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",
2020,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",6.3
2021,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",
2022,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",3.7
2023,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",
2024,"Manufacture of computers, electronic and optical products, electrical equipment, machinery and equipment n.e.c.",4.1
2015,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",
2016,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",
2017,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",
2018,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",5.4
2019,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",
2020,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",4.8
2021,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",
2022,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",3.4
2023,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",
2024,"Manufacture of motor vehicles, trailers and semi-trailers and other transport equipment",12.2
2015,"Manufacture of furniture, other products, repair and installation of machinery and equipment",
2016,"Manufacture of furniture, other products, repair and installation of machinery and equipment",
2017,"Manufacture of furniture, other products, repair and installation of machinery and equipment",
2018,"Manufacture of furniture, other products, repair and installation of machinery and equipment",1.6
2019,"Manufacture of furniture, other products, repair and installation of machinery and equipment",
2020,"Manufacture of furniture, other products, repair and installation of machinery and equipment",0.9
2021,"Manufacture of furniture, other products, repair and installation of machinery and equipment",
2022,"Manufacture of furniture, other products, repair and installation of machinery and equipment",0.8
2023,"Manufacture of furniture, other products, repair and installation of machinery and equipment",
2024,"Manufacture of furniture, other products, repair and installation of machinery and equipment",1.5
2015,"Electricity, gas, steam and air conditioning supply",
2016,"Electricity, gas, steam and air conditioning supply",
2017,"Electricity, gas, steam and air conditioning supply",
2018,"Electricity, gas, steam and air conditioning supply",0.02
2019,"Electricity, gas, steam and air conditioning supply",
2020,"Electricity, gas, steam and air conditioning supply",
2021,"Electricity, gas, steam and air conditioning supply",
2022,"Electricity, gas, steam and air conditioning supply",
2023,"Electricity, gas, steam and air conditioning supply",
2024,"Electricity, gas, steam and air conditioning supply",0.1
2015,"Water supply; sewerage, waste management and remediation activities",
2016,"Water supply; sewerage, waste management and remediation activities",
2017,"Water supply; sewerage, waste management and remediation activities",
2018,"Water supply; sewerage, waste management and remediation activities",0.1
2019,"Water supply; sewerage, waste management and remediation activities",
2020,"Water supply; sewerage, waste management and remediation activities",
2021,"Water supply; sewerage, waste management and remediation activities",
2022,"Water supply; sewerage, waste management and remediation activities",
2023,"Water supply; sewerage, waste management and remediation activities",
2024,"Water supply; sewerage, waste management and remediation activities",0.4
2015,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2016,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2017,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
