Year,Types of economic activity,Value
2015,,79.1
2016,,80.4
2017,,80.8
2018,,81.5
2019,,82.2
2020,,82.4
2021,,81.6
2022,,81.7
2023,,82.2
2024,,82.0
2015,"Agriculture, forestry and fishing",92.5
2016,"Agriculture, forestry and fishing",94.2
2017,"Agriculture, forestry and fishing",95.7
2018,"Agriculture, forestry and fishing",94.8
2019,"Agriculture, forestry and fishing",92.9
2020,"Agriculture, forestry and fishing",93.3
2021,"Agriculture, forestry and fishing",92.5
2022,"Agriculture, forestry and fishing",92.9
2023,"Agriculture, forestry and fishing",85.4
2024,"Agriculture, forestry and fishing",85.9
2015,Industry,63.7
2016,Industry,66.9
2017,Industry,68.1
2018,Industry,68.5
2019,Industry,68.4
2020,Industry,68.5
2021,Industry,66.8
2022,Industry,68.5
2023,Industry,68.0
2024,Industry,67.1
2015,Construction,98.8
2016,Construction,С
2017,Construction,98.4
2018,Construction,97.8
2019,Construction,97.4
2020,Construction,96.2
2021,Construction,93.6
2022,Construction,96.3
2023,Construction,96.1
2024,Construction,95.3
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,88.8
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,88.2
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,87.2
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,87.2
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,85.9
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,85.2
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,83.8
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,82.5
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,83.7
2024,Wholesale and retail trade; repair of motor vehicles and motorcycles,82.9
2015,Transportation and storage; postal and courier services,50.0
2016,Transportation and storage; postal and courier services,50.3
2017,Transportation and storage; postal and courier services,50.4
2018,Transportation and storage; postal and courier services,51.0
2019,Transportation and storage; postal and courier services,52.5
2020,Transportation and storage; postal and courier services,52.9
2021,Transportation and storage; postal and courier services,53.0
2022,Transportation and storage; postal and courier services,52.5
2023,Transportation and storage; postal and courier services,56.4
2024,Transportation and storage; postal and courier services,57.2
2015,Accommodation and food service activities,С
2016,Accommodation and food service activities,С
2017,Accommodation and food service activities,С
2018,Accommodation and food service activities,С
2019,Accommodation and food service activities,С
2020,Accommodation and food service activities,С
2021,Accommodation and food service activities,С
2022,Accommodation and food service activities,С
2023,Accommodation and food service activities,С
2024,Accommodation and food service activities,С
2015,Information and telecommunications,83.1
2016,Information and telecommunications,86.1
2017,Information and telecommunications,87.5
2018,Information and telecommunications,91.0
2019,Information and telecommunications,92.1
2020,Information and telecommunications,92.6
2021,Information and telecommunications,94.0
2022,Information and telecommunications,94.7
2023,Information and telecommunications,95.1
2024,Information and telecommunications,С
2015,Financial and insurance activities,С
2016,Financial and insurance activities,С
2017,Financial and insurance activities,100.0
2018,Financial and insurance activities,С
2019,Financial and insurance activities,83.7
2020,Financial and insurance activities,80.4
2021,Financial and insurance activities,77.6
2022,Financial and insurance activities,73.3
2023,Financial and insurance activities,73.1
2024,Financial and insurance activities,66.8
2015,Real estate activities,С
2016,Real estate activities,С
2017,Real estate activities,С
2018,Real estate activities,С
2019,Real estate activities,С
2020,Real estate activities,С
2021,Real estate activities,С
2022,Real estate activities,С
2023,Real estate activities,С
2024,Real estate activities,С
2015,"Professional, scientific and technical activities",97.9
2016,"Professional, scientific and technical activities",С
2017,"Professional, scientific and technical activities",С
2018,"Professional, scientific and technical activities",С
2019,"Professional, scientific and technical activities",С
2020,"Professional, scientific and technical activities",С
2021,"Professional, scientific and technical activities",С
2022,"Professional, scientific and technical activities",С
2023,"Professional, scientific and technical activities",95.4
2024,"Professional, scientific and technical activities",С
2015,Administrative and support service activities,С
2016,Administrative and support service activities,С
2017,Administrative and support service activities,С
2018,Administrative and support service activities,С
2019,Administrative and support service activities,С
2020,Administrative and support service activities,С
2021,Administrative and support service activities,С
2022,Administrative and support service activities,С
2023,Administrative and support service activities,С
2024,Administrative and support service activities,100.0
2015,Education,100.0
2016,Education,100.0
2017,Education,С
2018,Education,С
2019,Education,100.0
2020,Education,С
2021,Education,100.0
2022,Education,100.0
2023,Education,100.0
2024,Education,100.0
2015,Human health and social work activities,100.0
2016,Human health and social work activities,100.0
2017,Human health and social work activities,100.0
2018,Human health and social work activities,С
2019,Human health and social work activities,С
2020,Human health and social work activities,С
2021,Human health and social work activities,98.3
2022,Human health and social work activities,С
2023,Human health and social work activities,С
2024,Human health and social work activities,98.4
2015,"Arts, sports, entertainment and recreation",93.8
2016,"Arts, sports, entertainment and recreation",С
2017,"Arts, sports, entertainment and recreation",С
2018,"Arts, sports, entertainment and recreation",С
2019,"Arts, sports, entertainment and recreation",С
2020,"Arts, sports, entertainment and recreation",С
2021,"Arts, sports, entertainment and recreation",С
2022,"Arts, sports, entertainment and recreation",100.0
2023,"Arts, sports, entertainment and recreation",С
2024,"Arts, sports, entertainment and recreation",С
2015,Other service activities,С
2016,Other service activities,100.0
2017,Other service activities,С
2018,Other service activities,100.0
2019,Other service activities,С
2020,Other service activities,С
2021,Other service activities,С
2022,Other service activities,С
2023,Other service activities,100.0
2024,Other service activities,100.0
