Year,Type of educational institution,Region,Value
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Sumy,79.39
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Ternopil,69.83
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Kharkiv,66.82
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Kherson,16.51
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Khmelnytskiy,72.66
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Cherkasy,82.26
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Chernivtsi,89.0
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Chernihiv,54.59
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,city Kyiv,85.01
2024,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,city Sevastopol,
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Ukraine,74.98
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Autonomous Republic of Crimea,
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Vinnytsya,70.25
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Volyn,71.43
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Dnipropetrovsk,70.03
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Donetsk,25.24
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Zhytomyr,75.82
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Zakarpattya,70.7
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Zaporizhzhya,79.06
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Ivano-Frankivsk,68.24
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Kyiv,86.32
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Kirovohrad,67.96
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Luhansk,35.71
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Lviv,72.84
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Mykolayiv,67.83
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Odesa,88.15
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Poltava,77.22
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Rivne,75.5
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Sumy,87.95
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Ternopil,73.24
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Kharkiv,75.57
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Kherson,16.52
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Khmelnytskiy,81.48
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Cherkasy,86.19
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Chernivtsi,87.83
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,Chernihiv,61.2
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,city Kyiv,88.06
2025,pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless access to the Internet,city Sevastopol,
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,86.74
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,83.91
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,74.86
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,97.71
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,90.98
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,63.21
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,76.75
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,100.0
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,81.78
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,100.0
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,96.53
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,94.39
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,60.41
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,94.76
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,80.38
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,86.61
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,92.72
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,92.35
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,75.39
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,99.75
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,94.52
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,99.22
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,98.21
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,92.22
2015,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,93.44
2015,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,95.7
2015,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,89.71
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,85.48
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,78.56
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,94.28
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,93.33
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,90.25
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,78.81
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,99.29
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,85.11
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,99.86
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,98.65
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,94.24
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,70.35
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,95.4
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,84.98
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,91.13
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,93.92
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,92.9
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,77.56
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,100.0
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,100.0
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,93.11
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,96.55
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,99.05
2016,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,94.88
2016,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,96.54
2016,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,92.02
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,86.46
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,81.65
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,95.87
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,96.98
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,73.59
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,81.74
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,98.9
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,89.24
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,99.57
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,100.0
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,96.53
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,87.09
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,96.84
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,88.92
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,95.18
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,95.51
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,94.52
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,82.36
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,100.0
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,100.0
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,93.29
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,98.82
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,99.52
2017,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,95.01
2017,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,98.49
2017,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2018,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2019,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2020,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2021,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2022,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2023,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2024,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Ukraine,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Autonomous Republic of Crimea,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Vinnytsya,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Volyn,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Dnipropetrovsk,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Donetsk,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Zhytomyr,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Zakarpattya,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Zaporizhzhya,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Ivano-Frankivsk,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Kyiv,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Kirovohrad,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Luhansk,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Lviv,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Mykolayiv,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Odesa,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Poltava,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Rivne,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Sumy,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Ternopil,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Kharkiv,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Kherson,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Khmelnytskiy,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Cherkasy,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Chernivtsi,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),Chernihiv,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),city Kyiv,
2025,general secondary educational institutions with access to the Internet (without specifying the speed),city Sevastopol,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2015,general secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
