Year,Type of educational institution,Region,Value
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
