Year,Type of water supply,Type of residence,Value
2015,,,100.0
2016,,,100.0
2017,,,100.0
2018,,,100.0
2019,,,100.0
2020,,,100.0
2021,,,100.0
2022,,,100.0
2023,,,100.0
2015,centralized,urban,99.0
2016,centralized,urban,87.0
2017,centralized,urban,87.0
2018,centralized,urban,86.0
2019,centralized,urban,81.0
2020,centralized,urban,87.0
2021,centralized,urban,88.0
2022,centralized,urban,88.0
2023,centralized,urban,88.0
2015,centralized,rural,25.0
2016,centralized,rural,21.0
2017,centralized,rural,22.0
2018,centralized,rural,21.0
2019,centralized,rural,25.0
2020,centralized,rural,26.0
2021,centralized,rural,22.0
2022,centralized,rural,25.0
2023,centralized,rural,25.0
2015,non_centralized,urban,1.0
2016,non_centralized,urban,12.0
2017,non_centralized,urban,12.0
2018,non_centralized,urban,13.0
2019,non_centralized,urban,18.0
2020,non_centralized,urban,12.0
2021,non_centralized,urban,11.0
2022,non_centralized,urban,11.0
2023,non_centralized,urban,11.0
2015,non_centralized,rural,75.0
2016,non_centralized,rural,78.0
2017,non_centralized,rural,77.0
2018,non_centralized,rural,78.0
2019,non_centralized,rural,74.0
2020,non_centralized,rural,73.0
2021,non_centralized,rural,77.0
2022,non_centralized,rural,74.0
2023,non_centralized,rural,74.0
2015,,urban,69.1
2016,,urban,69.1
2017,,urban,69.2
2018,,urban,69.3
2019,,urban,69.4
2020,,urban,69.5
2021,,urban,69.6
2022,,urban,69.7
2023,,urban,
2015,,rural,30.9
2016,,rural,30.8
2017,,rural,30.8
2018,,rural,30.7
2019,,rural,30.6
2020,,rural,30.5
2021,,rural,30.4
2022,,rural,30.3
2023,,rural,
