Year,Specialties of fields of knowledge,Level (degree) of education,Value
2015,126 Information systems and technologies,,
2016,126 Information systems and technologies,,
2017,126 Information systems and technologies,,17.53
2018,126 Information systems and technologies,,20.2
2019,126 Information systems and technologies,,21.07
2020,126 Information systems and technologies,,20.74
2021,126 Information systems and technologies,,21.2
2022,126 Information systems and technologies,,20.56
2023,126 Information systems and technologies,,19.68
2024,126 Information systems and technologies,,20.89
2015,131 Applied mechanics,,33.33
2016,131 Applied mechanics,,10.05
2017,131 Applied mechanics,,9.16
2018,131 Applied mechanics,,8.95
2019,131 Applied mechanics,,8.57
2020,131 Applied mechanics,,7.88
2021,131 Applied mechanics,,7.05
2022,131 Applied mechanics,,6.57
2023,131 Applied mechanics,,5.77
2024,131 Applied mechanics,,5.22
2015,132 Materials science,,
2016,132 Materials science,,22.75
2017,132 Materials science,,22.3
2018,132 Materials science,,21.25
2019,132 Materials science,,20.99
2020,132 Materials science,,21.0
2021,132 Materials science,,22.03
2022,132 Materials science,,18.74
2023,132 Materials science,,14.73
2024,132 Materials science,,13.87
2015,133 Industrial mechanical engineering,,
2016,133 Industrial mechanical engineering,,7.73
2017,133 Industrial mechanical engineering,,7.54
2018,133 Industrial mechanical engineering,,7.36
2019,133 Industrial mechanical engineering,,7.41
2020,133 Industrial mechanical engineering,,7.63
2021,133 Industrial mechanical engineering,,7.68
2022,133 Industrial mechanical engineering,,7.19
2023,133 Industrial mechanical engineering,,5.79
2024,133 Industrial mechanical engineering,,4.8
2015,134 Aviation and rocket and space engineering,,
2016,134 Aviation and rocket and space engineering,,15.73
2017,134 Aviation and rocket and space engineering,,16.02
2018,134 Aviation and rocket and space engineering,,16.11
2019,134 Aviation and rocket and space engineering,,15.57
2020,134 Aviation and rocket and space engineering,,15.28
2021,134 Aviation and rocket and space engineering,,16.12
2022,134 Aviation and rocket and space engineering,,13.78
2023,134 Aviation and rocket and space engineering,,13.06
2024,134 Aviation and rocket and space engineering,,13.28
2015,135 Shipbuilding,,
2016,135 Shipbuilding,,7.89
2017,135 Shipbuilding,,6.16
2018,135 Shipbuilding,,6.11
2019,135 Shipbuilding,,6.85
2020,135 Shipbuilding,,6.59
2021,135 Shipbuilding,,7.75
2022,135 Shipbuilding,,8.38
2023,135 Shipbuilding,,7.66
2024,135 Shipbuilding,,8.84
2015,136 Metallurgy,,
2016,136 Metallurgy,,19.75
2017,136 Metallurgy,,19.92
2018,136 Metallurgy,,19.79
2019,136 Metallurgy,,20.7
2020,136 Metallurgy,,20.23
2021,136 Metallurgy,,20.48
2022,136 Metallurgy,,19.06
2023,136 Metallurgy,,14.8
2024,136 Metallurgy,,11.86
2015,"141 Electric power engineering, electrical engineering and electromechanics",,
