Year,Specialties of fields of knowledge,Level (degree) of education,Value
2021,272 Aviation transport,,13.63
2022,272 Aviation transport,,13.91
2023,272 Aviation transport,,14.58
2024,272 Aviation transport,,14.75
2015,273 Rail transport,,
2016,273 Rail transport,,18.56
2017,273 Rail transport,,18.46
2018,273 Rail transport,,17.47
2019,273 Rail transport,,16.39
2020,273 Rail transport,,15.59
2021,273 Rail transport,,13.78
2022,273 Rail transport,,12.76
2023,273 Rail transport,,12.16
2024,273 Rail transport,,10.07
2015,274 Motor transport,,
2016,274 Motor transport,,1.36
2017,274 Motor transport,,1.57
2018,274 Motor transport,,1.57
2019,274 Motor transport,,1.58
2020,274 Motor transport,,1.61
2021,274 Motor transport,,1.83
2022,274 Motor transport,,1.82
2023,274 Motor transport,,1.66
2024,274 Motor transport,,1.48
2015,275 Transportation technologies,,
2016,275 Transportation technologies,,38.0
2017,275 Transportation technologies,,37.76
2018,275 Transportation technologies,,37.88
2019,275 Transportation technologies,,37.34
2020,275 Transportation technologies,,36.93
2021,275 Transportation technologies,,36.6
2022,275 Transportation technologies,,33.23
2023,275 Transportation technologies,,29.42
2024,275 Transportation technologies,,28.47
2015,,professional junior bachelor,
2016,,professional junior bachelor,
2017,,professional junior bachelor,
2018,,professional junior bachelor,
2019,,professional junior bachelor,
2020,,professional junior bachelor,20.38
2021,,professional junior bachelor,20.37
2022,,professional junior bachelor,19.62
2023,,professional junior bachelor,18.83
2024,,professional junior bachelor,16.77
2015,,junior specialist,27.27
2016,,junior specialist,20.2
2017,,junior specialist,19.82
2018,,junior specialist,19.61
2019,,junior specialist,19.44
2020,,junior specialist,18.96
2021,,junior specialist,18.31
2022,,junior specialist,17.87
2023,,junior specialist,13.09
2024,,junior specialist,14.01
2015,,junior bachelor,
2016,,junior bachelor,
2017,,junior bachelor,
2018,,junior bachelor,
2019,,junior bachelor,31.03
2020,,junior bachelor,26.53
2021,,junior bachelor,27.86
2022,,junior bachelor,25.12
2023,,junior bachelor,13.91
2024,,junior bachelor,11.5
2015,,bachelor,
2016,,bachelor,24.31
2017,,bachelor,23.92
2018,,bachelor,24.0
2019,,bachelor,24.02
2020,,bachelor,24.15
2021,,bachelor,24.47
2022,,bachelor,23.87
2023,,bachelor,21.99
2024,,bachelor,22.55
2015,,specialist,100.0
2016,,specialist,22.24
2017,,specialist,17.95
2018,,specialist,24.78
2019,,specialist,22.86
2020,,specialist,23.81
2021,,specialist,23.08
2022,,specialist,10.0
2023,,specialist,12.22
2024,,specialist,
2015,,master,
2016,,master,30.64
2017,,master,28.35
2018,,master,27.06
2019,,master,27.41
2020,,master,27.13
2021,,master,26.01
2022,,master,19.51
2023,,master,14.74
2024,,master,14.88
2015,,doctor of philosophy,44.9
2016,,doctor of philosophy,36.37
2017,,doctor of philosophy,32.4
2018,,doctor of philosophy,30.24
2019,,doctor of philosophy,28.82
2020,,doctor of philosophy,27.7
2021,,doctor of philosophy,27.91
2022,,doctor of philosophy,20.66
2023,,doctor of philosophy,13.71
2024,,doctor of philosophy,9.68
