Year,form of discrimination,by spheres of public relations,Sex,by type of residence,Value
2022,,freedom from discrimination in the field of advertising for vacancies (recruitment),,,
2023,,freedom from discrimination in the field of advertising for vacancies (recruitment),,,
2024,,freedom from discrimination in the field of advertising for vacancies (recruitment),,,3.0
2015,,,female,,0.23
2016,,,female,,0.16
2017,,,female,,0.34
2018,,,female,,0.86
2019,,,female,,0.7
2020,,,female,,0.4
2021,,,female,,0.46
2022,,,female,,0.26
2023,,,female,,0.21
2024,,,female,,0.42
2015,,,male,,0.32
2016,,,male,,0.29
2017,,,male,,1.7
2018,,,male,,0.85
2019,,,male,,0.49
2020,,,male,,0.48
2021,,,male,,0.42
2022,,,male,,0.38
2023,,,male,,0.27
2024,,,male,,0.62
2015,,,,urban,
2016,,,,urban,
2017,,,,urban,
2018,,,,urban,
2019,,,,urban,
2020,,,,urban,
2021,,,,urban,
2022,,,,urban,
2023,,,,urban,
2024,,,,urban,
2015,,,,rural,
2016,,,,rural,
2017,,,,rural,
2018,,,,rural,
2019,,,,rural,
2020,,,,rural,
2021,,,,rural,
2022,,,,rural,
2023,,,,rural,
2024,,,,rural,
