Year,Types of economic activity,Value
2024,Manufacture of beverages (Code NACE Rev.2 – 11),3.6
2015,Manufacture of tobacco products (Code NACE Rev.2 – 12),0.4
2016,Manufacture of tobacco products (Code NACE Rev.2 – 12),
2017,Manufacture of tobacco products (Code NACE Rev.2 – 12),0.8
2018,Manufacture of tobacco products (Code NACE Rev.2 – 12),0.2
2019,Manufacture of tobacco products (Code NACE Rev.2 – 12),c
2020,Manufacture of tobacco products (Code NACE Rev.2 – 12),c
2021,Manufacture of tobacco products (Code NACE Rev.2 – 12),
2022,Manufacture of tobacco products (Code NACE Rev.2 – 12),
2023,Manufacture of tobacco products (Code NACE Rev.2 – 12),
2024,Manufacture of tobacco products (Code NACE Rev.2 – 12),
2015,Manufacture of textiles (Code NACE Rev.2 – 13),1.6
2016,Manufacture of textiles (Code NACE Rev.2 – 13),
2017,Manufacture of textiles (Code NACE Rev.2 – 13),3.9
2018,Manufacture of textiles (Code NACE Rev.2 – 13),1.1
2019,Manufacture of textiles (Code NACE Rev.2 – 13),0.4
2020,Manufacture of textiles (Code NACE Rev.2 – 13),1.3
2021,Manufacture of textiles (Code NACE Rev.2 – 13),c
2022,Manufacture of textiles (Code NACE Rev.2 – 13),c
2023,Manufacture of textiles (Code NACE Rev.2 – 13),c
2024,Manufacture of textiles (Code NACE Rev.2 – 13),2.2
2015,Manufacture of wearing apparel (Code NACE Rev.2 – 14),0.6
2016,Manufacture of wearing apparel (Code NACE Rev.2 – 14),
2017,Manufacture of wearing apparel (Code NACE Rev.2 – 14),0.4
2018,Manufacture of wearing apparel (Code NACE Rev.2 – 14),0.7
2019,Manufacture of wearing apparel (Code NACE Rev.2 – 14),0.2
2020,Manufacture of wearing apparel (Code NACE Rev.2 – 14),c
2021,Manufacture of wearing apparel (Code NACE Rev.2 – 14),c
2022,Manufacture of wearing apparel (Code NACE Rev.2 – 14),c
2023,Manufacture of wearing apparel (Code NACE Rev.2 – 14),c
2024,Manufacture of wearing apparel (Code NACE Rev.2 – 14),2.1
2015,Manufacture of leather and related products (Code NACE Rev.2 – 15),0.1
2016,Manufacture of leather and related products (Code NACE Rev.2 – 15),
2017,Manufacture of leather and related products (Code NACE Rev.2 – 15),0.2
2018,Manufacture of leather and related products (Code NACE Rev.2 – 15),3.6
2019,Manufacture of leather and related products (Code NACE Rev.2 – 15),c
2020,Manufacture of leather and related products (Code NACE Rev.2 – 15),0.1
2021,Manufacture of leather and related products (Code NACE Rev.2 – 15),
2022,Manufacture of leather and related products (Code NACE Rev.2 – 15),
2023,Manufacture of leather and related products (Code NACE Rev.2 – 15),
2024,Manufacture of leather and related products (Code NACE Rev.2 – 15),c
2015,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",0.3
2016,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",
2017,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",0.3
2018,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",0.5
2019,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",0.1
2020,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",1.5
2021,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",c
2022,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",2.7
2023,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",c
2024,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (Code NACE Rev.2 – 16)",0.9
2015,Manufacture of paper and paper products (Code NACE Rev.2 – 17),1.5
2016,Manufacture of paper and paper products (Code NACE Rev.2 – 17),
2017,Manufacture of paper and paper products (Code NACE Rev.2 – 17),0.2
2018,Manufacture of paper and paper products (Code NACE Rev.2 – 17),0.3
2019,Manufacture of paper and paper products (Code NACE Rev.2 – 17),0.1
2020,Manufacture of paper and paper products (Code NACE Rev.2 – 17),0.4
2021,Manufacture of paper and paper products (Code NACE Rev.2 – 17),c
2022,Manufacture of paper and paper products (Code NACE Rev.2 – 17),0.5
2023,Manufacture of paper and paper products (Code NACE Rev.2 – 17),0.6
2024,Manufacture of paper and paper products (Code NACE Rev.2 – 17),
2015,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",3.8
2016,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",
2017,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",3.1
2018,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",7.7
2019,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",6.3
2020,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",c
2021,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",c
2022,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",c
2023,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",c
2024,"Printing, reproduction of recorded media (Code NACE Rev.2 – 18)",
2015,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),0.4
2016,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),
2017,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),c
2018,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),c
2019,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),c
2020,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),c
2021,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),c
2022,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),c
2023,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),
2024,Manufacture of coke and refined petroleum products (Code NACE Rev.2 – 19),
2015,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),3.3
2016,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),
2017,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),0.9
2018,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),1.3
2019,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),0.6
2020,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),0.9
