Year,Region,Category,Value
2017,Kirovohrad,,3.9
2017,Luhansk,,14.0
2017,Lviv,,24.3
2017,Mykolayiv,,2.6
2017,Odesa,,1.4
2017,Poltava,,7.9
2017,Rivne,,5.2
2017,Sumy,,39.4
2017,Ternopil,,5.2
2017,Kharkiv,,6.7
2017,Kherson,,7.8
2017,Khmelnytskiy,,42.8
2017,Cherkasy,,59.2
2017,Chernivtsi,,30.3
2017,Chernihiv,,17.8
2017,the city of Kyiv,,1.0
2017,city Sevastopol,,
2018,Ukraine,,29.4
2018,Autonomous Republic of Crimea,,
2018,Vinnytsya,,27.0
2018,Volyn,,21.3
2018,Dnipropetrovsk,,34.9
2018,Donetsk,,27.7
2018,Zhytomyr,,10.0
2018,Zakarpattya,,0.2
2018,Zaporizhzhya,,62.8
2018,Ivano-Frankivsk,,28.1
2018,Kyiv,,2.4
2018,Kirovohrad,,4.9
2018,Luhansk,,8.2
2018,Lviv,,16.6
2018,Mykolayiv,,2.5
2018,Odesa,,1.3
2018,Poltava,,14.0
2018,Rivne,,4.8
2018,Sumy,,23.2
2018,Ternopil,,14.6
2018,Kharkiv,,17.5
2018,Kherson,,8.5
2018,Khmelnytskiy,,55.6
2018,Cherkasy,,53.0
2018,Chernivtsi,,29.6
2018,Chernihiv,,15.3
2018,the city of Kyiv,,0.2
2018,city Sevastopol,,
2019,Ukraine,,24.5
2019,Autonomous Republic of Crimea,,
2019,Vinnytsya,,7.7
2019,Volyn,,5.4
2019,Dnipropetrovsk,,35.9
2019,Donetsk,,20.5
2019,Zhytomyr,,11.2
2019,Zakarpattya,,0.1
2019,Zaporizhzhya,,70.1
2019,Ivano-Frankivsk,,29.1
2019,Kyiv,,0.7
2019,Kirovohrad,,4.5
2019,Luhansk,,9.5
2019,Lviv,,16.0
2019,Mykolayiv,,2.6
2019,Odesa,,0.4
2019,Poltava,,3.1
2019,Rivne,,7.6
2019,Sumy,,18.2
2019,Ternopil,,26.1
2019,Kharkiv,,11.1
2019,Kherson,,7.5
2019,Khmelnytskiy,,44.5
2019,Cherkasy,,55.4
2019,Chernivtsi,,36.7
2019,Chernihiv,,9.9
2019,the city of Kyiv,,0.1
2019,city Sevastopol,,
2020,Ukraine,,21.7
2020,Autonomous Republic of Crimea,,
2020,Vinnytsya,,9.2
2020,Volyn,,5.6
2020,Dnipropetrovsk,,28.2
2020,Donetsk,,17.3
2020,Zhytomyr,,8.4
2020,Zakarpattya,,0.2
2020,Zaporizhzhya,,63.0
2020,Ivano-Frankivsk,,30.4
2020,Kyiv,,0.8
2020,Kirovohrad,,15.7
2020,Luhansk,,15.2
2020,Lviv,,12.9
2020,Mykolayiv,,3.5
2020,Odesa,,0.4
2020,Poltava,,2.1
2020,Rivne,,1.7
2020,Sumy,,19.1
2020,Ternopil,,24.1
2020,Kharkiv,,16.6
2020,Kherson,,26.4
2020,Khmelnytskiy,,81.7
2020,Cherkasy,,56.4
2020,Chernivtsi,,39.5
2020,Chernihiv,,14.7
2020,the city of Kyiv,,4.1
2020,city Sevastopol,,
2021,Ukraine,,21.8
2021,Autonomous Republic of Crimea,,
2021,Vinnytsya,,6.9
2021,Volyn,,7.4
2021,Dnipropetrovsk,,34.1
2021,Donetsk,,27.8
2021,Zhytomyr,,6.8
2021,Zakarpattya,,0.4
2021,Zaporizhzhya,,60.9
2021,Ivano-Frankivsk,,28.1
2021,Kyiv,,5.5
2021,Kirovohrad,,0.2
2021,Luhansk,,7.4
2021,Lviv,,16.9
2021,Mykolayiv,,3.6
2021,Odesa,,2.2
2021,Poltava,,1.6
2021,Rivne,,0.8
2021,Sumy,,19.1
2021,Ternopil,,14.2
2021,Kharkiv,,2.5
2021,Kherson,,19.9
2021,Khmelnytskiy,,43.2
2021,Cherkasy,,60.4
2021,Chernivtsi,,5.3
2021,Chernihiv,,10.2
2021,the city of Kyiv,,8.9
2021,city Sevastopol,,
2022,Ukraine,,29.0
2022,Autonomous Republic of Crimea,,
2022,Vinnytsya,,9.6
2022,Volyn,,16.7
2022,Dnipropetrovsk,,47.1
2022,Donetsk,,0.1
2022,Zhytomyr,,5.4
2022,Zakarpattya,,0.3
2022,Zaporizhzhya,,40.3
2022,Ivano-Frankivsk,,27.8
2022,Kyiv,,0.6
2022,Kirovohrad,,0.3
2022,Luhansk,,0.0
2022,Lviv,,22.1
2022,Mykolayiv,,9.7
2022,Odesa,,3.8
2022,Poltava,,3.3
2022,Rivne,,2.7
2022,Sumy,,13.3
2022,Ternopil,,22.6
2022,Kharkiv,,3.4
2022,Kherson,,7.9
2022,Khmelnytskiy,,18.3
2022,Cherkasy,,55.6
2022,Chernivtsi,,5.9
2022,Chernihiv,,16.2
2022,the city of Kyiv,,49.1
2022,city Sevastopol,,
2023,Ukraine,,22.3
2023,Autonomous Republic of Crimea,,
2023,Vinnytsya,,8.6
2023,Volyn,,30.7
2023,Dnipropetrovsk,,32.1
2023,Donetsk,,0.1
2023,Zhytomyr,,0.5
2023,Zakarpattya,,0.2
2023,Zaporizhzhya,,0.1
2023,Ivano-Frankivsk,,29.8
2023,Kyiv,,2.4
2023,Kirovohrad,,0.3
2023,Luhansk,,0.0
2023,Lviv,,25.2
2023,Mykolayiv,,22.0
2023,Odesa,,1.6
2023,Poltava,,5.2
2023,Rivne,,3.5
2023,Sumy,,6.6
2023,Ternopil,,4.6
2023,Kharkiv,,0.7
2023,Kherson,,0.2
2023,Khmelnytskiy,,16.7
2023,Cherkasy,,58.8
2023,Chernivtsi,,6.6
2023,Chernihiv,,18.0
2023,the city of Kyiv,,2.0
2023,city Sevastopol,,
2024,Ukraine,,12.6
2024,Autonomous Republic of Crimea,,
2024,Vinnytsya,,9.3
2024,Volyn,,51.5
2024,Dnipropetrovsk,,17.7
2024,Donetsk,,0.0
2024,Zhytomyr,,0.6
2024,Zakarpattya,,0.2
2024,Zaporizhzhya,,0.0
2024,Ivano-Frankivsk,,59.6
2024,Kyiv,,28.2
2024,Kirovohrad,,0.3
2024,Luhansk,,0.0
2024,Lviv,,17.0
2024,Mykolayiv,,24.1
2024,Odesa,,29.9
2024,Poltava,,1.6
2024,Rivne,,2.4
2024,Sumy,,2.8
2024,Ternopil,,12.4
2024,Kharkiv,,30.4
2024,Kherson,,0.0
2024,Khmelnytskiy,,8.0
2024,Cherkasy,,52.4
2024,Chernivtsi,,10.2
2024,Chernihiv,,25.3
2024,the city of Kyiv,,4.3
2024,city Sevastopol,,
