Year,by types of economic activity,by the organisational and legal forms,Region,Value
2022,manufacture of bread; manufacture of fresh pastry goods and cakes,,,34.9
2023,manufacture of bread; manufacture of fresh pastry goods and cakes,,,35.1
2024,manufacture of bread; manufacture of fresh pastry goods and cakes,,,34.0
2025,manufacture of bread; manufacture of fresh pastry goods and cakes,,,35.0
2016,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2017,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2018,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2019,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2020,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2021,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2022,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,28.4
2023,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,29.4
2024,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,31.5
2025,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,31.9
2016,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2017,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2018,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2019,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2020,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2021,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2022,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,31.3
2023,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,31.4
2024,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,30.9
2025,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,30.8
2016,manufacture of sugar,,,
2017,manufacture of sugar,,,
2018,manufacture of sugar,,,
2019,manufacture of sugar,,,
2020,manufacture of sugar,,,
2021,manufacture of sugar,,,
2022,manufacture of sugar,,,13.9
2023,manufacture of sugar,,,14.3
2024,manufacture of sugar,,,16.9
2025,manufacture of sugar,,,20.0
2016,"manufacture of cocoa, chocolate and sugar confectionery",,,
2017,"manufacture of cocoa, chocolate and sugar confectionery",,,
2018,"manufacture of cocoa, chocolate and sugar confectionery",,,
2019,"manufacture of cocoa, chocolate and sugar confectionery",,,
2020,"manufacture of cocoa, chocolate and sugar confectionery",,,
2021,"manufacture of cocoa, chocolate and sugar confectionery",,,
2022,"manufacture of cocoa, chocolate and sugar confectionery",,,30.6
2023,"manufacture of cocoa, chocolate and sugar confectionery",,,30.7
2024,"manufacture of cocoa, chocolate and sugar confectionery",,,31.3
2025,"manufacture of cocoa, chocolate and sugar confectionery",,,32.6
2016,processing of tea and coffee,,,
2017,processing of tea and coffee,,,
2018,processing of tea and coffee,,,
2019,processing of tea and coffee,,,
2020,processing of tea and coffee,,,
2021,processing of tea and coffee,,,
2022,processing of tea and coffee,,,23.8
2023,processing of tea and coffee,,,23.7
