Year,Group,Value
2015,,
2016,,
2017,,96.2
2018,,110.7
2019,,130.5
2020,,211.4
2021,,284.2
2022,,251.8
2023,,251.9
2015,men,
2016,men,
2017,men,10.4
2018,men,14.5
2019,men,14.6
2020,men,27.7
2021,men,45.7
2022,men,37.6
2023,men,46.9
2015,women,
2016,women,
2017,women,85.3
2018,women,91.1
2019,women,114.8
2020,women,180.9
2021,women,233.2
2022,women,208.5
2023,women,196.4
2015,children,
2016,children,
2017,children,0.9
2018,children,1.0
2019,children,1.1
2020,children,2.8
2021,children,5.3
2022,children,5.7
2023,children,8.6
