Year,Types of economic activity,Value
2015,,
2016,,
2017,,
2018,,0.7
2019,,
2020,,1.1
2021,,
2022,,0.7
2023,,
2024,,2.1
2015,Industry (Code NACE Rev.2 – B+C+D+E),
2016,Industry (Code NACE Rev.2 – B+C+D+E),
2017,Industry (Code NACE Rev.2 – B+C+D+E),
2018,Industry (Code NACE Rev.2 – B+C+D+E),0.9
2019,Industry (Code NACE Rev.2 – B+C+D+E),
2020,Industry (Code NACE Rev.2 – B+C+D+E),1.9
2021,Industry (Code NACE Rev.2 – B+C+D+E),
2022,Industry (Code NACE Rev.2 – B+C+D+E),1.0
2023,Industry (Code NACE Rev.2 – B+C+D+E),
2024,Industry (Code NACE Rev.2 – B+C+D+E),2.8
2015,Mining and quarrying (Code NACE Rev.2 – B),
2016,Mining and quarrying (Code NACE Rev.2 – B),
2017,Mining and quarrying (Code NACE Rev.2 – B),
2018,Mining and quarrying (Code NACE Rev.2 – B),0.1
2019,Mining and quarrying (Code NACE Rev.2 – B),
2020,Mining and quarrying (Code NACE Rev.2 – B),1.8
2021,Mining and quarrying (Code NACE Rev.2 – B),
2022,Mining and quarrying (Code NACE Rev.2 – B),2.2
2023,Mining and quarrying (Code NACE Rev.2 – B),
2024,Mining and quarrying (Code NACE Rev.2 – B),2.5
2015,Manufacturing (Code NACE Rev.2 – C),
2016,Manufacturing (Code NACE Rev.2 – C),
2017,Manufacturing (Code NACE Rev.2 – C),
2018,Manufacturing (Code NACE Rev.2 – C),1.4
2019,Manufacturing (Code NACE Rev.2 – C),
2020,Manufacturing (Code NACE Rev.2 – C),2.4
2021,Manufacturing (Code NACE Rev.2 – C),
2022,Manufacturing (Code NACE Rev.2 – C),1.4
2023,Manufacturing (Code NACE Rev.2 – C),
2024,Manufacturing (Code NACE Rev.2 – C),4.5
2015,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",
2016,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",
2017,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",
2018,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",c
2019,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",
