Year,Types of economic activity,River basins,Region,Value
2018,,Black Sea River Basin Area,,12.25
2018,,Crimea River Basin Area,,
2018,,Danube River Basin Area,,7.111
2018,,Dniester River Basin Area,,11.66
2018,,Dnipro River Basin Area,,636.3
2018,,Don River Basin Area,,46.99
2018,,Southern Bug River Basin Area,,26.03
2018,,Vistula River Basin Area,,36.12
2018,Accommodation and food service activities,,,
2018,Administrative and support service activities,,,
2018,"Agriculture, forestry and fishing",,,
2018,"Arts, sports, entertainment and recreation",,,
2018,Construction,,,
2018,Education,,,
2018,"Electricity, gas, steam and air conditioning supply",,,
2018,Financial and insurance activities,,,
2018,Household activities,,,
2018,Human health and social work activities,,,
2018,Information and telecommunications,,,
2018,Manufacturing,,,
2018,Mining and quarrying,,,
2018,Other service activities,,,
2018,"Professional, scientific and technical activities",,,
2018,Public administration and defense; compulsory social insurance,,,
2018,Real estate activities,,,
2018,"Transportation and storage, post and courier services",,,
2018,"Water supply; sewerage, waste management and remediation activities",,,
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2018,,,Autonomous Republic of Crimea,
2018,,,Vinnytsya,0.988
2018,,,Volyn,0.428
2018,,,Dnipropetrovsk,233.9
2018,,,Donetsk,185.6
2018,,,Zhytomyr,2.066
2018,,,Zakarpattya,3.567
2018,,,Zaporizhzhya,65.95
2018,,,Ivano-Frankivsk,0.56
2018,,,Kyiv,2.317
2018,,,Kirovohrad,3.319
2018,,,Luhansk,17.94
2018,,,Lviv,42.01
2018,,,Mykolayiv,21.22
2018,,,Odesa,14.91
2018,,,Poltava,2.174
2018,,,Rivne,4.449
2018,,,Sumy,23.11
2018,,,Ternopil,2.554
2018,,,Kharkiv,14.07
2018,,,Kherson,2.106
2018,,,Khmelnytskiy,1.001
2018,,,Cherkasy,7.171
2018,,,Chernivtsi,1.89
2018,,,Chernihiv,15.57
2018,,,city Kyiv,283.3
2018,,,city Sevastopol,
2019,,,,737.2
2019,,Azov River Basin Area,,34.2
2019,,Black Sea River Basin Area,,1.939
2019,,Crimea River Basin Area,,
2019,,Danube River Basin Area,,36.53
2019,,Dniester River Basin Area,,10.31
2019,,Dnipro River Basin Area,,546.5
2019,,Don River Basin Area,,46.31
2019,,Southern Bug River Basin Area,,21.59
2019,,Vistula River Basin Area,,39.85
2019,Accommodation and food service activities,,,
2019,Administrative and support service activities,,,
2019,"Agriculture, forestry and fishing",,,
2019,"Arts, sports, entertainment and recreation",,,
2019,Construction,,,
2019,Education,,,
2019,"Electricity, gas, steam and air conditioning supply",,,
2019,Financial and insurance activities,,,
2019,Household activities,,,
2019,Human health and social work activities,,,
2019,Information and telecommunications,,,
2019,Manufacturing,,,
2019,Mining and quarrying,,,
2019,Other service activities,,,
2019,"Professional, scientific and technical activities",,,
2019,Public administration and defense; compulsory social insurance,,,
2019,Real estate activities,,,
2019,"Transportation and storage, post and courier services",,,
2019,"Water supply; sewerage, waste management and remediation activities",,,
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2019,,,Autonomous Republic of Crimea,
2019,,,Vinnytsya,0.672
2019,,,Volyn,0.472
2019,,,Dnipropetrovsk,200.0
2019,,,Donetsk,45.33
2019,,,Zhytomyr,1.894
2019,,,Zakarpattya,2.63
2019,,,Zaporizhzhya,11.04
2019,,,Ivano-Frankivsk,0.604
2019,,,Kyiv,2.284
2019,,,Kirovohrad,3.024
2019,,,Luhansk,15.64
2019,,,Lviv,45.43
2019,,,Mykolayiv,19.66
2019,,,Odesa,36.21
2019,,,Poltava,1.974
2019,,,Rivne,4.631
2019,,,Sumy,21.23
2019,,,Ternopil,2.371
2019,,,Kharkiv,14.73
2019,,,Kherson,0.639
2019,,,Khmelnytskiy,1.046
2019,,,Cherkasy,2.854
2019,,,Chernivtsi,1.366
2019,,,Chernihiv,14.1
2019,,,city Kyiv,287.4
2019,,,city Sevastopol,
2020,,,,518.351
2020,,Azov River Basin Area,,17.899
2020,,Black Sea River Basin Area,,3.408
2020,,Crimea River Basin Area,,
2020,,Danube River Basin Area,,25.829
2020,,Dniester River Basin Area,,9.528
2020,,Dnipro River Basin Area,,227.896
2020,,Don River Basin Area,,90.946
2020,,Southern Bug River Basin Area,,24.759
2020,,Vistula River Basin Area,,118.086
2020,Accommodation and food service activities,,,0.023
2020,Administrative and support service activities,,,0.719
2020,"Agriculture, forestry and fishing",,,24.581
2020,"Arts, sports, entertainment and recreation",,,0.013
2020,Construction,,,2.406
2020,Education,,,0.254
2020,"Electricity, gas, steam and air conditioning supply",,,4.292
2020,Financial and insurance activities,,,
2020,Household activities,,,
2020,Human health and social work activities,,,0.457
2020,Information and telecommunications,,,
2020,Manufacturing,,,25.49
2020,Mining and quarrying,,,77.591
2020,Other service activities,,,
2020,"Professional, scientific and technical activities",,,0.008
2020,Public administration and defense; compulsory social insurance,,,1.114
2020,Real estate activities,,,0.227
2020,"Transportation and storage, post and courier services",,,0.541
2020,"Water supply; sewerage, waste management and remediation activities",,,380.58
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,0.056
2020,,,Autonomous Republic of Crimea,
2020,,,Vinnytsya,0.133
2020,,,Volyn,0.423
2020,,,Dnipropetrovsk,127.731
2020,,,Donetsk,76.398
2020,,,Zhytomyr,1.903
2020,,,Zakarpattya,3.532
2020,,,Zaporizhzhya,11.597
2020,,,Ivano-Frankivsk,1.34
2020,,,Kyiv,2.202
2020,,,Kirovohrad,3.624
2020,,,Luhansk,33.797
2020,,,Lviv,123.15
2020,,,Mykolayiv,20.69
2020,,,Odesa,24.558
2020,,,Poltava,2.02
2020,,,Rivne,14.983
2020,,,Sumy,19.889
2020,,,Ternopil,2.067
2020,,,Kharkiv,12.547
2020,,,Kherson,2.525
2020,,,Khmelnytskiy,1.077
2020,,,Cherkasy,3.203
2020,,,Chernivtsi,1.697
2020,,,Chernihiv,10.777
2020,,,city Kyiv,16.488
2020,,,city Sevastopol,
2021,,,,543.093
2021,,Azov River Basin Area,,29.894
2021,,Black Sea River Basin Area,,3.311
2021,,Crimea River Basin Area,,
2021,,Danube River Basin Area,,33.597
2021,,Dniester River Basin Area,,10.8
2021,,Dnipro River Basin Area,,256.592
2021,,Don River Basin Area,,69.206
2021,,Southern Bug River Basin Area,,25.468
2021,,Vistula River Basin Area,,114.225
2021,Accommodation and food service activities,,,0.074
2021,Administrative and support service activities,,,1.346
2021,"Agriculture, forestry and fishing",,,35.331
2021,"Arts, sports, entertainment and recreation",,,0.016
2021,Construction,,,2.484
2021,Education,,,0.254
2021,"Electricity, gas, steam and air conditioning supply",,,3.023
2021,Financial and insurance activities,,,
2021,Household activities,,,
2021,Human health and social work activities,,,0.465
2021,Information and telecommunications,,,
2021,Manufacturing,,,16.478
2021,Mining and quarrying,,,100.205
2021,Other service activities,,,0.006
2021,"Professional, scientific and technical activities",,,0.007
2021,Public administration and defense; compulsory social insurance,,,0.691
2021,Real estate activities,,,0.147
2021,"Transportation and storage, post and courier services",,,1.443
2021,"Water supply; sewerage, waste management and remediation activities",,,381.066
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,0.057
2021,,,Autonomous Republic of Crimea,
2021,,,Vinnytsya,0.814
2021,,,Volyn,0.485
2021,,,Dnipropetrovsk,120.326
2021,,,Donetsk,90.022
2021,,,Zhytomyr,2.109
2021,,,Zakarpattya,3.877
2021,,,Zaporizhzhya,7.116
2021,,,Ivano-Frankivsk,1.307
2021,,,Kyiv,1.165
2021,,,Kirovohrad,16.045
2021,,,Luhansk,21.229
2021,,,Lviv,119.826
2021,,,Mykolayiv,20.241
2021,,,Odesa,33.084
2021,,,Poltava,24.806
2021,,,Rivne,8.25
2021,,,Sumy,18.51
2021,,,Ternopil,2.173
2021,,,Kharkiv,5.367
2021,,,Kherson,8.838
2021,,,Khmelnytskiy,1.229
2021,,,Cherkasy,4.134
2021,,,Chernivtsi,1.376
2021,,,Chernihiv,14.506
2021,,,city Kyiv,16.259
2021,,,city Sevastopol,
2022,,,,374.027
2022,,Azov River Basin Area,,
2022,,Black Sea River Basin Area,,1.42
