Year,Age,Sex,Type of residence,by frequency of use,purpose of use,Region,Value
2016,,,urban,,,,
2017,,,urban,,,,
2018,,,urban,,,,
2019,,,urban,,,,
2020,,,urban,,,,86.7
2021,,,urban,,,,89.8
2022,,,urban,,,,
2023,,,urban,,,,
2024,,,urban,,,,
2015,,,rural,,,,
2016,,,rural,,,,
2017,,,rural,,,,
2018,,,rural,,,,
2019,,,rural,,,,
2020,,,rural,,,,69.6
2021,,,rural,,,,75.9
2022,,,rural,,,,
2023,,,rural,,,,
2024,,,rural,,,,
2015,,,,at least once a day,,,
2016,,,,at least once a day,,,
2017,,,,at least once a day,,,
2018,,,,at least once a day,,,
2019,,,,at least once a day,,,
2020,,,,at least once a day,,,85.5
2021,,,,at least once a day,,,87.2
2022,,,,at least once a day,,,
2023,,,,at least once a day,,,
2024,,,,at least once a day,,,
2015,,,,"at least once a week, but not every day",,,
2016,,,,"at least once a week, but not every day",,,
2017,,,,"at least once a week, but not every day",,,
2018,,,,"at least once a week, but not every day",,,
2019,,,,"at least once a week, but not every day",,,
2020,,,,"at least once a week, but not every day",,,12.9
2021,,,,"at least once a week, but not every day",,,11.8
2022,,,,"at least once a week, but not every day",,,
2023,,,,"at least once a week, but not every day",,,
2024,,,,"at least once a week, but not every day",,,
2015,,,,less than once a week,,,
2016,,,,less than once a week,,,
2017,,,,less than once a week,,,
2018,,,,less than once a week,,,
2019,,,,less than once a week,,,
2020,,,,less than once a week,,,1.6
2021,,,,less than once a week,,,1.0
2022,,,,less than once a week,,,
2023,,,,less than once a week,,,
2024,,,,less than once a week,,,
2015,,,,,sending (receiving) e-mail,,
2016,,,,,sending (receiving) e-mail,,
2017,,,,,sending (receiving) e-mail,,
2018,,,,,sending (receiving) e-mail,,
2019,,,,,sending (receiving) e-mail,,
2020,,,,,sending (receiving) e-mail,,36.5
2021,,,,,sending (receiving) e-mail,,38.2
2022,,,,,sending (receiving) e-mail,,
2023,,,,,sending (receiving) e-mail,,
2024,,,,,sending (receiving) e-mail,,
2015,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2016,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2017,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2018,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2019,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2020,,,,,"for interaction with government bodies (e-government system), including obtaining information",,3.9
2021,,,,,"for interaction with government bodies (e-government system), including obtaining information",,5.2
2022,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
