Year,Еconomic activity,Value
2020,repair and installation of machinery and equipment,0.2
2021,repair and installation of machinery and equipment,С
2022,repair and installation of machinery and equipment,1.0
2023,repair and installation of machinery and equipment,С
2024,repair and installation of machinery and equipment,0.3
2015,"supply of electricity, gas, steam and air conditioning",0.0
2016,"supply of electricity, gas, steam and air conditioning",
2017,"supply of electricity, gas, steam and air conditioning",С
2018,"supply of electricity, gas, steam and air conditioning",С
2019,"supply of electricity, gas, steam and air conditioning",С
2020,"supply of electricity, gas, steam and air conditioning",С
2021,"supply of electricity, gas, steam and air conditioning",С
2022,"supply of electricity, gas, steam and air conditioning",
2023,"supply of electricity, gas, steam and air conditioning",С
2024,"supply of electricity, gas, steam and air conditioning",С
2015,"water supply; sewage, waste management",0.0
2016,"water supply; sewage, waste management",
2017,"water supply; sewage, waste management",С
2018,"water supply; sewage, waste management",С
2019,"water supply; sewage, waste management",С
2020,"water supply; sewage, waste management",С
2021,"water supply; sewage, waste management",
2022,"water supply; sewage, waste management",С
2023,"water supply; sewage, waste management",С
2024,"water supply; sewage, waste management",0.4
2015,"water collection, treatment and supply",0.0
2016,"water collection, treatment and supply",
2017,"water collection, treatment and supply",
2018,"water collection, treatment and supply",
2019,"water collection, treatment and supply",
2020,"water collection, treatment and supply",С
2021,"water collection, treatment and supply",
2022,"water collection, treatment and supply",С
2023,"water collection, treatment and supply",С
2024,"water collection, treatment and supply",0.7
2015,"sewage, wastewater collection and treatment",
2016,"sewage, wastewater collection and treatment",
2017,"sewage, wastewater collection and treatment",
2018,"sewage, wastewater collection and treatment",
2019,"sewage, wastewater collection and treatment",С
2020,"sewage, wastewater collection and treatment",
2021,"sewage, wastewater collection and treatment",С
2022,"sewage, wastewater collection and treatment",
2023,"sewage, wastewater collection and treatment",
2024,"sewage, wastewater collection and treatment",
2015,"collection, treatment and disposal of waste; restoration of materials",0.0
2016,"collection, treatment and disposal of waste; restoration of materials",
2017,"collection, treatment and disposal of waste; restoration of materials",С
2018,"collection, treatment and disposal of waste; restoration of materials",С
2019,"collection, treatment and disposal of waste; restoration of materials",
2020,"collection, treatment and disposal of waste; restoration of materials",
2021,"collection, treatment and disposal of waste; restoration of materials",С
2022,"collection, treatment and disposal of waste; restoration of materials",С
2023,"collection, treatment and disposal of waste; restoration of materials",С
2024,"collection, treatment and disposal of waste; restoration of materials",С
2015,other waste management activities,
2016,other waste management activities,
2017,other waste management activities,
2018,other waste management activities,
2019,other waste management activities,
2020,other waste management activities,
2021,other waste management activities,
2022,other waste management activities,
2023,other waste management activities,
2024,other waste management activities,
