Year,Region,Age groups,Gender,Type of place of residence,education,Value
2019,Zakarpattya,,,,,55.4
2020,Zakarpattya,,,,,53.7
2021,Zakarpattya,,,,,52.8
2022,Zakarpattya,,,,,
2023,Zakarpattya,,,,,
2024,Zakarpattya,,,,,
2015,Zaporizhzhya,,,,,56.4
2016,Zaporizhzhya,,,,,56.0
2017,Zaporizhzhya,,,,,55.2
2018,Zaporizhzhya,,,,,56.7
2019,Zaporizhzhya,,,,,58.1
2020,Zaporizhzhya,,,,,56.0
2021,Zaporizhzhya,,,,,55.8
2022,Zaporizhzhya,,,,,
2023,Zaporizhzhya,,,,,
2024,Zaporizhzhya,,,,,
2015,Ivano-Frankivsk,,,,,54.8
2016,Ivano-Frankivsk,,,,,54.7
2017,Ivano-Frankivsk,,,,,55.0
2018,Ivano-Frankivsk,,,,,55.6
2019,Ivano-Frankivsk,,,,,56.6
2020,Ivano-Frankivsk,,,,,54.1
2021,Ivano-Frankivsk,,,,,53.8
2022,Ivano-Frankivsk,,,,,
2023,Ivano-Frankivsk,,,,,
2024,Ivano-Frankivsk,,,,,
2015,Kyiv,,,,,58.1
2016,Kyiv,,,,,57.8
2017,Kyiv,,,,,58.0
2018,Kyiv,,,,,58.5
2019,Kyiv,,,,,59.3
2020,Kyiv,,,,,57.8
2021,Kyiv,,,,,56.8
2022,Kyiv,,,,,
2023,Kyiv,,,,,
2024,Kyiv,,,,,
2015,Kirovohrad,,,,,54.0
2016,Kirovohrad,,,,,52.9
2017,Kirovohrad,,,,,53.3
2018,Kirovohrad,,,,,54.5
2019,Kirovohrad,,,,,55.6
2020,Kirovohrad,,,,,53.1
2021,Kirovohrad,,,,,52.6
2022,Kirovohrad,,,,,
2023,Kirovohrad,,,,,
2024,Kirovohrad,,,,,
2015,Luhansk,,,,,54.6
2016,Luhansk,,,,,55.6
2017,Luhansk,,,,,54.7
2018,Luhansk,,,,,56.9
2019,Luhansk,,,,,58.8
2020,Luhansk,,,,,56.4
2021,Luhansk,,,,,55.7
2022,Luhansk,,,,,
2023,Luhansk,,,,,
2024,Luhansk,,,,,
2015,Lviv,,,,,55.5
2016,Lviv,,,,,55.9
2017,Lviv,,,,,56.2
2018,Lviv,,,,,56.8
2019,Lviv,,,,,57.8
2020,Lviv,,,,,56.0
2021,Lviv,,,,,55.8
2022,Lviv,,,,,
2023,Lviv,,,,,
2024,Lviv,,,,,
2015,Mykolayiv,,,,,58.4
2016,Mykolayiv,,,,,57.5
2017,Mykolayiv,,,,,56.8
2018,Mykolayiv,,,,,58.1
2019,Mykolayiv,,,,,59.1
2020,Mykolayiv,,,,,57.3
2021,Mykolayiv,,,,,56.4
2022,Mykolayiv,,,,,
2023,Mykolayiv,,,,,
2024,Mykolayiv,,,,,
2015,Odesa,,,,,57.3
2016,Odesa,,,,,56.7
2017,Odesa,,,,,56.1
2018,Odesa,,,,,57.2
2019,Odesa,,,,,58.3
2020,Odesa,,,,,56.8
2021,Odesa,,,,,56.5
2022,Odesa,,,,,
2023,Odesa,,,,,
2024,Odesa,,,,,
2015,Poltava,,,,,54.2
2016,Poltava,,,,,53.3
2017,Poltava,,,,,54.0
2018,Poltava,,,,,55.1
2019,Poltava,,,,,56.6
2020,Poltava,,,,,54.8
2021,Poltava,,,,,54.0
2022,Poltava,,,,,
2023,Poltava,,,,,
2024,Poltava,,,,,
2015,Rivne,,,,,58.5
2016,Rivne,,,,,56.9
2017,Rivne,,,,,55.1
2018,Rivne,,,,,56.8
2019,Rivne,,,,,58.4
2020,Rivne,,,,,56.1
2021,Rivne,,,,,55.0
2022,Rivne,,,,,
2023,Rivne,,,,,
2024,Rivne,,,,,
2015,Sumy,,,,,55.6
2016,Sumy,,,,,56.8
2017,Sumy,,,,,57.4
2018,Sumy,,,,,58.4
2019,Sumy,,,,,59.8
2020,Sumy,,,,,56.8
2021,Sumy,,,,,55.8
2022,Sumy,,,,,
2023,Sumy,,,,,
2024,Sumy,,,,,
2015,Ternopil,,,,,51.6
2016,Ternopil,,,,,52.0
2017,Ternopil,,,,,51.0
2018,Ternopil,,,,,52.7
2019,Ternopil,,,,,53.8
2020,Ternopil,,,,,51.6
2021,Ternopil,,,,,50.8
2022,Ternopil,,,,,
2023,Ternopil,,,,,
2024,Ternopil,,,,,
2015,Kharkiv,,,,,59.3
2016,Kharkiv,,,,,59.7
2017,Kharkiv,,,,,60.6
2018,Kharkiv,,,,,61.4
2019,Kharkiv,,,,,62.1
2020,Kharkiv,,,,,59.9
2021,Kharkiv,,,,,59.3
2022,Kharkiv,,,,,
2023,Kharkiv,,,,,
2024,Kharkiv,,,,,
2015,Kherson,,,,,56.1
2016,Kherson,,,,,55.8
2017,Kherson,,,,,56.2
2018,Kherson,,,,,57.5
2019,Kherson,,,,,58.9
2020,Kherson,,,,,56.8
2021,Kherson,,,,,56.3
2022,Kherson,,,,,
2023,Kherson,,,,,
2024,Kherson,,,,,
2015,Khmelnytskiy,,,,,52.6
2016,Khmelnytskiy,,,,,53.9
2017,Khmelnytskiy,,,,,54.7
2018,Khmelnytskiy,,,,,55.9
2019,Khmelnytskiy,,,,,57.0
2020,Khmelnytskiy,,,,,54.8
2021,Khmelnytskiy,,,,,54.0
2022,Khmelnytskiy,,,,,
2023,Khmelnytskiy,,,,,
2024,Khmelnytskiy,,,,,
2015,Cherkasy,,,,,56.5
2016,Cherkasy,,,,,56.2
2017,Cherkasy,,,,,56.7
2018,Cherkasy,,,,,57.7
2019,Cherkasy,,,,,59.3
2020,Cherkasy,,,,,57.0
2021,Cherkasy,,,,,56.0
2022,Cherkasy,,,,,
2023,Cherkasy,,,,,
2024,Cherkasy,,,,,
2015,Chernivtsi,,,,,54.9
2016,Chernivtsi,,,,,56.2
2017,Chernivtsi,,,,,56.6
2018,Chernivtsi,,,,,57.2
2019,Chernivtsi,,,,,59.0
2020,Chernivtsi,,,,,56.5
2021,Chernivtsi,,,,,55.6
2022,Chernivtsi,,,,,
2023,Chernivtsi,,,,,
2024,Chernivtsi,,,,,
2015,Chernihiv,,,,,56.2
2016,Chernihiv,,,,,55.6
2017,Chernihiv,,,,,56.1
2018,Chernihiv,,,,,57.3
2019,Chernihiv,,,,,58.9
2020,Chernihiv,,,,,56.4
2021,Chernihiv,,,,,55.5
2022,Chernihiv,,,,,
2023,Chernihiv,,,,,
2024,Chernihiv,,,,,
2015,the city of Kyiv,,,,,62.0
2016,the city of Kyiv,,,,,62.3
2017,the city of Kyiv,,,,,61.8
2018,the city of Kyiv,,,,,62.6
2019,the city of Kyiv,,,,,63.1
2020,the city of Kyiv,,,,,61.7
2021,the city of Kyiv,,,,,61.6
2022,the city of Kyiv,,,,,
2023,the city of Kyiv,,,,,
2024,the city of Kyiv,,,,,
2015,city Sevastopol,,,,,
2016,city Sevastopol,,,,,
2017,city Sevastopol,,,,,
2018,city Sevastopol,,,,,
2019,city Sevastopol,,,,,
2020,city Sevastopol,,,,,
2021,city Sevastopol,,,,,
2022,city Sevastopol,,,,,
2023,city Sevastopol,,,,,
2024,city Sevastopol,,,,,
2015,,15–24 years,,,,28.2
2016,,15–24 years,,,,27.0
2017,,15–24 years,,,,27.9
2018,,15–24 years,,,,27.6
2019,,15–24 years,,,,30.6
2020,,15–24 years,,,,25.8
2021,,15–24 years,,,,24.8
2022,,15–24 years,,,,
2023,,15–24 years,,,,
2024,,15–24 years,,,,
2015,,25–29 years,,,,71.8
2016,,25–29 years,,,,69.8
2017,,25–29 years,,,,69.7
2018,,25–29 years,,,,71.8
2019,,25–29 years,,,,73.3
2020,,25–29 years,,,,72.1
2021,,25–29 years,,,,70.4
2022,,25–29 years,,,,
2023,,25–29 years,,,,
2024,,25–29 years,,,,
2015,,30–34 years,,,,74.3
2016,,30–34 years,,,,74.7
2017,,30–34 years,,,,74.6
2018,,30–34 years,,,,75.9
2019,,30–34 years,,,,76.0
2020,,30–34 years,,,,74.5
2021,,30–34 years,,,,74.0
2022,,30–34 years,,,,
2023,,30–34 years,,,,
2024,,30–34 years,,,,
2015,,35–39 years,,,,79.1
2016,,35–39 years,,,,78.4
2017,,35–39 years,,,,77.6
2018,,35–39 years,,,,76.7
2019,,35–39 years,,,,79.3
2020,,35–39 years,,,,75.3
2021,,35–39 years,,,,75.0
2022,,35–39 years,,,,
2023,,35–39 years,,,,
2024,,35–39 years,,,,
2015,,40–49 years,,,,78.6
2016,,40–49 years,,,,78.2
2017,,40–49 years,,,,77.3
2018,,40–49 years,,,,79.4
2019,,40–49 years,,,,78.7
2020,,40–49 years,,,,76.7
2021,,40–49 years,,,,76.8
2022,,40–49 years,,,,
2023,,40–49 years,,,,
2024,,40–49 years,,,,
2015,,50–59 years,,,,61.7
2016,,50–59 years,,,,62.4
2017,,50–59 years,,,,62.9
2018,,50–59 years,,,,65.5
2019,,50–59 years,,,,67.9
2020,,50–59 years,,,,67.9
2021,,50–59 years,,,,68.3
2022,,50–59 years,,,,
2023,,50–59 years,,,,
2024,,50–59 years,,,,
2015,,60–70 years,,,,14.5
2016,,60–70 years,,,,14.3
2017,,60–70 years,,,,13.9
2018,,60–70 years,,,,13.2
2019,,60–70 years,,,,13.7
2020,,60–70 years,,,,13.2
2021,,60–70 years,,,,12.8
2022,,60–70 years,,,,
2023,,60–70 years,,,,
2024,,60–70 years,,,,
2015,,,females,,,51.7
2016,,,females,,,51.6
2017,,,females,,,51.4
2018,,,females,,,52.5
2019,,,females,,,52.9
2020,,,females,,,51.2
2021,,,females,,,50.4
2022,,,females,,,
2023,,,females,,,
2024,,,females,,,
2015,,,men,,,62.2
2016,,,men,,,61.6
2017,,,men,,,61.4
2018,,,men,,,62.1
2019,,,men,,,64.0
2020,,,men,,,61.8
2021,,,men,,,61.5
2022,,,men,,,
2023,,,men,,,
2024,,,men,,,
2015,,,,urban,,57.4
2016,,,,urban,,57.0
2017,,,,urban,,56.9
2018,,,,urban,,58.1
2019,,,,urban,,59.1
2020,,,,urban,,57.2
2021,,,,urban,,56.7
2022,,,,urban,,
2023,,,,urban,,
2024,,,,urban,,
2015,,,,rural,,55.1
2016,,,,rural,,54.9
2017,,,,rural,,54.4
2018,,,,rural,,55.0
2019,,,,rural,,56.2
2020,,,,rural,,54.1
2021,,,,rural,,53.6
2022,,,,rural,,
2023,,,,rural,,
2024,,,,rural,,
2015,,,,,Complete higher,71.9
2016,,,,,Complete higher,70.8
2017,,,,,Complete higher,70.5
2018,,,,,Complete higher,71.5
2019,,,,,Complete higher,72.5
2020,,,,,Complete higher,71.3
2021,,,,,Complete higher,70.6
2022,,,,,Complete higher,
2023,,,,,Complete higher,
2024,,,,,Complete higher,
2015,,,,,Basic higher,49.3
2016,,,,,Basic higher,46.2
2017,,,,,Basic higher,45.7
2018,,,,,Basic higher,49.3
2019,,,,,Basic higher,56.9
2020,,,,,Basic higher,56.8
2021,,,,,Basic higher,59.0
2022,,,,,Basic higher,
2023,,,,,Basic higher,
2024,,,,,Basic higher,
2015,,,,,Incomplete higher,62.6
2016,,,,,Incomplete higher,62.2
2017,,,,,Incomplete higher,61.2
2018,,,,,Incomplete higher,62.4
2019,,,,,Incomplete higher,62.2
2020,,,,,Incomplete higher,60.0
2021,,,,,Incomplete higher,59.4
2022,,,,,Incomplete higher,
2023,,,,,Incomplete higher,
2024,,,,,Incomplete higher,
2015,,,,,Professional and technical,63.3
2016,,,,,Professional and technical,62.9
2017,,,,,Professional and technical,61.6
2018,,,,,Professional and technical,62.5
2019,,,,,Professional and technical,63.6
2020,,,,,Professional and technical,61.4
2021,,,,,Professional and technical,61.2
2022,,,,,Professional and technical,
2023,,,,,Professional and technical,
2024,,,,,Professional and technical,
2015,,,,,Complete total average,42.7
2016,,,,,Complete total average,42.1
2017,,,,,Complete total average,42.6
2018,,,,,Complete total average,43.2
2019,,,,,Complete total average,44.7
2020,,,,,Complete total average,42.7
2021,,,,,Complete total average,41.3
2022,,,,,Complete total average,
2023,,,,,Complete total average,
2024,,,,,Complete total average,
2015,,,,,"Basic, primary general secondary, or no education",16.7
2016,,,,,"Basic, primary general secondary, or no education",16.9
2017,,,,,"Basic, primary general secondary, or no education",16.7
2018,,,,,"Basic, primary general secondary, or no education",15.5
2019,,,,,"Basic, primary general secondary, or no education",17.8
2020,,,,,"Basic, primary general secondary, or no education",15.6
2021,,,,,"Basic, primary general secondary, or no education",14.8
2022,,,,,"Basic, primary general secondary, or no education",
2023,,,,,"Basic, primary general secondary, or no education",
2024,,,,,"Basic, primary general secondary, or no education",
