Year,Sex,Age,Value
2015,women,,
2015,men,,
2015,women,under 35 years,
2015,men,under 35 years,
2015,women,36–60 years,
2015,men,36–60 years,
2015,women,61–64 years,
2015,men,61–64 years,
2015,women,65–70 years,
2015,men,65–70 years,
2016,women,,
2016,men,,
2016,women,under 35 years,
2016,men,under 35 years,
2016,women,36–60 years,
2016,men,36–60 years,
2016,women,61–64 years,
2016,men,61–64 years,
2016,women,65–70 years,
2016,men,65–70 years,
2017,women,,
2017,men,,
2017,women,under 35 years,
2017,men,under 35 years,
2017,women,36–60 years,
2017,men,36–60 years,
2017,women,61–64 years,
2017,men,61–64 years,
2017,women,65–70 years,
2017,men,65–70 years,
2018,women,,
2018,men,,
2018,women,under 35 years,
2018,men,under 35 years,
2018,women,36–60 years,
2018,men,36–60 years,
2018,women,61–64 years,
2018,men,61–64 years,
2018,women,65–70 years,
2018,men,65–70 years,
2019,women,,
2019,men,,
2019,women,under 35 years,
2019,men,under 35 years,
2019,women,36–60 years,
2019,men,36–60 years,
2019,women,61–64 years,
2019,men,61–64 years,
2019,women,65–70 years,
2019,men,65–70 years,
2020,women,,33.0
2020,men,,67.0
2020,women,under 35 years,25.0
2020,men,under 35 years,75.0
2020,women,36–60 years,36.0
2020,men,36–60 years,64.0
2020,women,61–64 years,
2020,men,61–64 years,100.0
2020,women,65–70 years,
2020,men,65–70 years,100.0
2021,women,,28.0
2021,men,,72.0
2021,women,under 35 years,32.0
2021,men,under 35 years,68.0
2021,women,36–60 years,28.0
2021,men,36–60 years,72.0
2021,women,61–64 years,25.0
2021,men,61–64 years,75.0
2021,women,65–70 years,
2021,men,65–70 years,100.0
2022,women,,31.0
2022,men,,69.0
2022,women,under 35 years,
2022,men,under 35 years,
2022,women,36–60 years,
2022,men,36–60 years,
2022,women,61–64 years,
2022,men,61–64 years,
2022,women,65–70 years,
2022,men,65–70 years,
2023,women,,31.0
2023,men,,69.0
2023,women,under 35 years,36.0
2023,men,under 35 years,64.0
2023,women,36–60 years,32.0
2023,men,36–60 years,68.0
2023,women,61–64 years,29.0
2023,men,61–64 years,71.0
2023,women,65–70 years,
2023,men,65–70 years,100.0
2024,women,,27.0
2024,men,,73.0
2024,women,under 35 years,24.0
2024,men,under 35 years,76.0
2024,women,36–60 years,29.0
2024,men,36–60 years,71.0
2024,women,61–64 years,25.0
2024,men,61–64 years,75.0
2024,women,65–70 years,
2024,men,65–70 years,100.0
