Year,Види економічної діяльності,Value
2016,"Мистецтво, спорт, розваги та відпочинок",к
2017,"Мистецтво, спорт, розваги та відпочинок",к
2018,"Мистецтво, спорт, розваги та відпочинок",к
2019,"Мистецтво, спорт, розваги та відпочинок",к
2020,"Мистецтво, спорт, розваги та відпочинок",к
2021,"Мистецтво, спорт, розваги та відпочинок",к
2022,"Мистецтво, спорт, розваги та відпочинок",100.0
2023,"Мистецтво, спорт, розваги та відпочинок",к
2024,"Мистецтво, спорт, розваги та відпочинок",к
2015,Надання інших видів послуг,к
2016,Надання інших видів послуг,100.0
2017,Надання інших видів послуг,к
2018,Надання інших видів послуг,100.0
2019,Надання інших видів послуг,к
2020,Надання інших видів послуг,к
2021,Надання інших видів послуг,к
2022,Надання інших видів послуг,к
2023,Надання інших видів послуг,100.0
2024,Надання інших видів послуг,100.0
